index,B25024_001E,state,county,tract,block group,B16004_029E,B25044_010E,B19301_001E,B15003_002E,B15003_001E,B27001_023E,B15003_004E,B15003_016E,B01001_026E,B16004_051E,B19055_001E,B15003_003E,B16004_066E,B27001_017E,B01001_021E,B01001_027E,B16004_035E,B15003_005E,C24010_001E,B16004_007E,B15003_013E,B01001_049E,B25024_010E,B16004_062E,B03002_001E,B01001_024E,B01001_001E,B16004_022E,B16004_018E,B15003_008E,B17021_002E,B03002_005E,B03002_012E,B27001_005E,B25044_003E,B01001_048E,B16004_034E,B27001_033E,B03002_006E,C24010_038E,B16004_030E,B15003_006E,B25002_001E,C24010_068E,B16004_061E,B15003_014E,B17021_001E,B16004_052E,B15003_010E,B27001_042E,B16004_001E,B25002_003E,B25010_001E,B27001_011E,B27001_020E,B16004_040E,B15003_015E,C24010_055E,B01001_022E,B16004_067E,B27001_026E,B27001_048E,B01001_023E,B01002_001E,B27001_014E,B01001_045E,B16004_057E,B01001_044E,B27001_036E,B19001_017E,B03002_004E,C24010_032E,B23025_003E,B19055_002E,B25003_003E,B27001_057E,B01001_046E,B15003_011E,B27001_045E,B16004_039E,B16004_012E,B01001_025E,B16004_008E,B27001_001E,B16004_017E,B11005_005E,B25077_001E,B15003_007E,B27001_029E,B15003_012E,B01001_003E,B16004_045E,B25003_001E,B16004_023E,B15003_009E,B11001_006E,B23025_005E,B16004_044E,B25044_001E,B27001_008E,B27001_039E,B16004_056E,B16004_013E,C24010_019E,B01001_020E,B11005_003E,B25064_001E,B27001_054E,B19001_001E,B27001_051E,B11001_001E,B01001_047E,bg_fips,tract_fips,country_fips,county_fips,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
482011000001,1468.0,48,201,100000,1,10.0,284.0,74305.0,60.0,2677.0,63.0,0.0,0.0,768.0,0.0,1061.0,0.0,0.0,110.0,45.0,11.0,0.0,0.0,951.0,0.0,9.0,9.0,0.0,0.0,2935.0,29.0,2935.0,0.0,0.0,44.0,462.0,0.0,637.0,0.0,10.0,0.0,8.0,0.0,73.0,358.0,92.0,0.0,1468.0,0.0,0.0,46.0,1808.0,0.0,0.0,40.0,2924.0,407.0,1.34,0.0,132.0,0.0,72.0,12.0,29.0,0.0,6.0,0.0,10.0,45.5,22.0,10.0,0.0,10.0,6.0,385.0,854.0,0.0,1039.0,207.0,957.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3936.0,0.0,0.0,7234999.999999999,0.0,0.0,12.0,0.0,0.0,1061.0,0.0,0.0,0.0,88.0,0.0,1061.0,12.0,0.0,0.0,0.0,44.0,62.0,16.0,1954.0,0.0,1061.0,9.0,1061.0,0.0,482011000001,48201100000,48201,48201,48,201,100000,1,1500000US482011000001,482011000001,1,BG,1333040,28976,"POLYGON ((-95.36166399999999 29.759436, -95.358863 29.762961, -95.357896 29.76361, -95.35682899999999 29.762895, -95.353809 29.762044, -95.35337699999999 29.762522, -95.353859 29.764698, -95.353527 29.76558, -95.349937 29.765285, -95.347678 29.766512, -95.34934299999999 29.764481, -95.35126799999999 29.758746, -95.35422899999999 29.754977, -95.35848899999999 29.749765, -95.365819 29.754186, -95.36166399999999 29.759436))"
482011000002,852.0,48,201,100000,2,0.0,64.0,63150.0,0.0,716.0,63.0,0.0,0.0,292.0,0.0,711.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,0.0,971.0,0.0,971.0,0.0,0.0,15.0,68.0,0.0,162.0,0.0,0.0,13.0,0.0,0.0,80.0,210.0,0.0,0.0,852.0,0.0,0.0,0.0,959.0,0.0,0.0,40.0,971.0,141.0,1.37,0.0,132.0,0.0,0.0,23.0,11.0,0.0,6.0,0.0,24.0,29.2,22.0,0.0,0.0,0.0,6.0,48.0,92.0,14.0,799.0,33.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,3936.0,0.0,0.0,10985000.0,0.0,0.0,0.0,0.0,0.0,711.0,0.0,0.0,9.0,0.0,0.0,711.0,12.0,0.0,0.0,0.0,27.0,0.0,0.0,1477.0,0.0,711.0,9.0,711.0,9.0,482011000002,48201100000,48201,48201,48,201,100000,2,1500000US482011000002,482011000002,2,BG,1217320,0,"POLYGON ((-95.374572 29.757775, -95.37439599999999 29.758457, -95.37371999999999 29.760048, -95.36869899999999 29.757032, -95.36927899999999 29.756291, -95.365819 29.754186, -95.35848899999999 29.749765, -95.362684 29.744865, -95.36519 29.74588, -95.370947 29.749319, -95.373762 29.751263, -95.374493 29.752879, -95.374572 29.757775))"
482011000003,1059.0,48,201,100000,3,0.0,10.0,99072.0,0.0,990.0,63.0,0.0,0.0,430.0,0.0,793.0,0.0,0.0,110.0,18.0,0.0,0.0,0.0,937.0,0.0,0.0,10.0,0.0,0.0,1157.0,0.0,1157.0,0.0,0.0,0.0,99.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,77.0,316.0,0.0,0.0,1059.0,0.0,0.0,0.0,1157.0,0.0,0.0,40.0,1135.0,266.0,1.46,0.0,132.0,0.0,16.0,34.0,0.0,0.0,6.0,0.0,0.0,40.9,22.0,11.0,0.0,10.0,6.0,178.0,89.0,0.0,956.0,60.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3936.0,0.0,0.0,266400.0,0.0,0.0,0.0,22.0,0.0,793.0,0.0,0.0,0.0,19.0,0.0,793.0,12.0,0.0,0.0,0.0,24.0,29.0,25.0,1800.0,0.0,793.0,9.0,793.0,0.0,482011000003,48201100000,48201,48201,48,201,100000,3,1500000US482011000003,482011000003,3,BG,1255605,48203,"POLYGON ((-95.373205 29.76116, -95.37203099999999 29.762349, -95.36934599999999 29.763606, -95.36785499999999 29.764465, -95.367284 29.765086, -95.367037 29.765499, -95.365043 29.770221, -95.36503499999999 29.770552, -95.36127999999999 29.767654, -95.359335 29.767263, -95.357784 29.766305, -95.358598 29.764832, -95.357896 29.76361, -95.358863 29.762961, -95.36166399999999 29.759436, -95.365819 29.754186, -95.36927899999999 29.756291, -95.36869899999999 29.757032, -95.37371999999999 29.760048, -95.373205 29.76116))"
482012101001,64.0,48,201,210100,1,148.0,0.0,17070.0,0.0,5201.0,0.0,0.0,0.0,109.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,84.0,0.0,352.0,0.0,0.0,0.0,6820.0,0.0,6820.0,0.0,0.0,11.0,0.0,0.0,2119.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0,193.0,16.0,64.0,0.0,0.0,504.0,94.0,0.0,134.0,0.0,6820.0,12.0,1.81,0.0,0.0,0.0,564.0,0.0,30.0,0.0,0.0,0.0,0.0,31.6,0.0,0.0,0.0,0.0,0.0,14.0,3562.0,5.0,84.0,0.0,48.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,5.0,300183.0,10.0,0.0,113.0,0.0,0.0,52.0,0.0,42.0,5.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,1864.0,0.0,52.0,0.0,52.0,0.0,482012101001,48201210100,48201,48201,48,201,210100,1,1500000US482012101001,482012101001,1,BG,662529,36430,"POLYGON ((-95.359335 29.767263, -95.355975 29.7683, -95.35181299999999 29.770053, -95.348788 29.770171, -95.341809 29.769761, -95.34116399999999 29.769641, -95.34195199999999 29.768903, -95.34740499999999 29.766705, -95.347678 29.766512, -95.349937 29.765285, -95.353527 29.76558, -95.353859 29.764698, -95.35337699999999 29.762522, -95.353809 29.762044, -95.35682899999999 29.762895, -95.357896 29.76361, -95.358598 29.764832, -95.357784 29.766305, -95.359335 29.767263))"
482012104001,408.0,48,201,210400,1,116.0,0.0,13590.0,35.0,580.0,74.0,0.0,29.0,544.0,11.0,310.0,0.0,0.0,115.0,0.0,124.0,0.0,0.0,537.0,0.0,88.0,0.0,0.0,0.0,1134.0,0.0,1134.0,0.0,0.0,0.0,370.0,0.0,1105.0,55.0,0.0,11.0,0.0,39.0,0.0,166.0,100.0,34.0,408.0,0.0,0.0,20.0,1134.0,24.0,47.0,81.0,935.0,98.0,3.66,101.0,119.0,0.0,21.0,56.0,10.0,0.0,47.0,20.0,13.0,25.3,116.0,0.0,0.0,11.0,42.0,0.0,14.0,78.0,537.0,35.0,206.0,0.0,36.0,0.0,58.0,0.0,0.0,0.0,23.0,4403.0,0.0,111.0,104800.0,0.0,0.0,23.0,75.0,0.0,310.0,0.0,0.0,87.0,0.0,0.0,310.0,69.0,53.0,0.0,0.0,23.0,24.0,152.0,907.0,24.0,310.0,66.0,310.0,0.0,482012104001,48201210400,48201,48201,48,201,210400,1,1500000US482012104001,482012104001,1,BG,298427,0,"POLYGON ((-95.35611999999999 29.784949, -95.35607899999999 29.789783, -95.35500999999999 29.789795, -95.352081 29.789805, -95.351096 29.789829, -95.351085 29.788974, -95.35096799999999 29.785285, -95.350751 29.784736, -95.351457 29.784324, -95.35611299999999 29.784295, -95.35611999999999 29.784949))"
482012104002,165.0,48,201,210400,2,31.0,29.0,53197.0,19.0,218.0,74.0,0.0,0.0,83.0,0.0,133.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,11.0,0.0,0.0,218.0,0.0,218.0,0.0,0.0,31.0,26.0,0.0,129.0,55.0,0.0,0.0,0.0,39.0,0.0,72.0,19.0,0.0,165.0,0.0,0.0,0.0,218.0,0.0,0.0,81.0,218.0,32.0,1.64,101.0,119.0,0.0,0.0,26.0,0.0,0.0,47.0,20.0,0.0,40.4,116.0,0.0,0.0,0.0,42.0,8.0,16.0,0.0,207.0,11.0,56.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,4403.0,0.0,0.0,158800.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,133.0,69.0,53.0,0.0,0.0,0.0,0.0,0.0,931.0,24.0,133.0,66.0,133.0,0.0,482012104002,48201210400,48201,48201,48,201,210400,2,1500000US482012104002,482012104002,2,BG,245561,0,"POLYGON ((-95.367711 29.781431, -95.364283 29.781655, -95.36442199999999 29.781957, -95.357618 29.784684, -95.35611999999999 29.784949, -95.35611299999999 29.784295, -95.351457 29.784324, -95.35142599999999 29.783371, -95.354692 29.78334, -95.35686 29.783319, -95.36074099999999 29.781912, -95.36385399999999 29.78077, -95.367334 29.77949, -95.367711 29.781431))"
482012104003,771.0,48,201,210400,3,47.0,157.0,10947.0,91.0,1096.0,74.0,0.0,71.0,1076.0,62.0,702.0,0.0,0.0,115.0,8.0,136.0,0.0,22.0,611.0,26.0,27.0,10.0,0.0,0.0,2061.0,9.0,2061.0,0.0,0.0,29.0,974.0,0.0,1090.0,55.0,65.0,12.0,0.0,39.0,0.0,320.0,66.0,0.0,771.0,0.0,0.0,94.0,2061.0,73.0,21.0,81.0,1685.0,69.0,2.94,101.0,119.0,0.0,64.0,167.0,42.0,0.0,47.0,20.0,11.0,26.8,116.0,52.0,0.0,15.0,42.0,0.0,761.0,55.0,763.0,158.0,478.0,0.0,44.0,0.0,58.0,0.0,0.0,37.0,0.0,4403.0,0.0,211.0,104200.0,12.0,0.0,10.0,240.0,0.0,702.0,0.0,26.0,280.0,152.0,0.0,702.0,69.0,53.0,0.0,0.0,58.0,0.0,316.0,671.8531468531469,24.0,702.0,66.0,702.0,0.0,482012104003,48201210400,48201,48201,48,201,210400,3,1500000US482012104003,482012104003,3,BG,575150,0,"POLYGON ((-95.365528 29.788014, -95.361813 29.789748, -95.35607899999999 29.789783, -95.35611999999999 29.784949, -95.357618 29.784684, -95.36442199999999 29.781957, -95.365871 29.785004, -95.365528 29.788014))"
482012104004,439.0,48,201,210400,4,55.0,41.0,20635.0,124.0,807.0,74.0,0.0,0.0,407.0,51.0,399.0,0.0,0.0,115.0,44.0,0.0,0.0,0.0,562.0,0.0,0.0,0.0,32.0,0.0,990.0,0.0,990.0,0.0,0.0,12.0,213.0,0.0,804.0,55.0,61.0,8.0,0.0,39.0,0.0,221.0,0.0,0.0,439.0,0.0,0.0,6.0,990.0,105.0,97.0,81.0,990.0,40.0,2.12,101.0,119.0,0.0,34.0,79.0,43.0,0.0,47.0,20.0,0.0,50.6,116.0,59.0,0.0,43.0,42.0,0.0,94.0,32.0,598.0,135.0,252.0,0.0,18.0,13.0,58.0,0.0,0.0,0.0,0.0,4403.0,0.0,8.0,1445000.0,48.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,14.0,36.0,0.0,399.0,69.0,53.0,0.0,0.0,48.0,23.0,51.0,835.0,24.0,399.0,66.0,399.0,9.0,482012104004,48201210400,48201,48201,48,201,210400,4,1500000US482012104004,482012104004,4,BG,695172,0,"POLYGON ((-95.37184499999999 29.792207, -95.368737 29.79224, -95.36641899999999 29.792412, -95.361813 29.789748, -95.365528 29.788014, -95.365871 29.785004, -95.36442199999999 29.781957, -95.364283 29.781655, -95.367711 29.781431, -95.367334 29.77949, -95.368184 29.779319, -95.369046 29.779319, -95.36852499999999 29.781762, -95.36877 29.783689, -95.37174999999999 29.788806, -95.371892 29.789997, -95.37184499999999 29.792207))"
482012105001,707.0,48,201,210500,1,262.0,105.0,20202.0,36.0,1135.0,117.0,0.0,69.0,861.0,29.0,663.0,0.0,0.0,112.0,21.0,138.0,0.0,0.0,868.0,0.0,48.0,18.0,0.0,0.0,1853.0,33.0,1853.0,0.0,0.0,50.0,334.0,0.0,1558.0,11.0,0.0,9.0,0.0,0.0,0.0,311.0,77.0,0.0,707.0,0.0,0.0,27.0,1831.0,28.0,165.0,116.0,1686.0,44.0,2.79,146.0,240.0,0.0,30.0,48.0,10.0,0.0,8.0,96.0,18.0,34.3,78.0,0.0,0.0,10.0,45.0,26.0,121.0,138.0,931.0,123.0,439.0,10.0,29.0,7.0,101.0,0.0,0.0,0.0,0.0,5479.0,0.0,97.0,172500.0,0.0,0.0,7.0,29.0,0.0,663.0,0.0,0.0,111.0,63.0,0.0,663.0,71.0,251.0,0.0,0.0,31.0,0.0,220.0,837.0,7.0,663.0,93.0,663.0,23.0,482012105001,48201210500,48201,48201,48,201,210500,1,1500000US482012105001,482012105001,1,BG,581371,0,"POLYGON ((-95.36792799999999 29.799898, -95.365685 29.799904, -95.35774499999999 29.800007, -95.35724499999999 29.79997, -95.35708099999999 29.794815, -95.36285099999999 29.79484, -95.36282399999999 29.793045, -95.367741 29.796884, -95.36792799999999 29.799898))"
482012105002,628.0,48,201,210500,2,97.0,34.0,14409.0,75.0,1119.0,117.0,0.0,0.0,826.0,0.0,565.0,15.0,0.0,112.0,13.0,31.0,0.0,52.0,681.0,21.0,38.0,9.0,0.0,0.0,1803.0,27.0,1803.0,0.0,0.0,30.0,440.0,0.0,1292.0,11.0,26.0,9.0,12.0,0.0,0.0,333.0,111.0,0.0,628.0,0.0,0.0,103.0,1803.0,62.0,48.0,116.0,1608.0,63.0,3.19,146.0,240.0,0.0,100.0,104.0,8.0,0.0,8.0,96.0,10.0,31.0,78.0,0.0,0.0,0.0,45.0,0.0,457.0,25.0,782.0,184.0,336.0,10.0,34.0,12.0,101.0,0.0,0.0,9.0,0.0,5479.0,0.0,60.0,117700.0,0.0,0.0,0.0,164.0,0.0,565.0,0.0,0.0,127.0,101.0,0.0,565.0,71.0,251.0,0.0,0.0,53.0,50.0,213.0,780.0,7.0,565.0,93.0,565.0,10.0,482012105002,48201210500,48201,48201,48,201,210500,2,1500000US482012105002,482012105002,2,BG,659144,0,"POLYGON ((-95.35724499999999 29.79997, -95.35332299999999 29.799999, -95.350387 29.80006, -95.35019699999999 29.793453, -95.350127 29.789837, -95.351096 29.789829, -95.352081 29.789805, -95.35500999999999 29.789795, -95.35511799999999 29.794022, -95.35708099999999 29.794815, -95.35724499999999 29.79997))"
