index,B01001_001E,state,county,tract,block group,B16004_035E,B15003_010E,B16004_034E,B27001_045E,B15003_001E,C24010_001E,B15003_008E,B16004_062E,B16004_023E,B19001_001E,B16004_022E,B01001_020E,B15003_003E,B27001_054E,B19001_017E,B16004_057E,B15003_016E,B16004_044E,B25002_001E,B01001_003E,B27001_042E,B16004_039E,B25002_003E,B27001_017E,B27001_001E,B16004_013E,B15003_015E,B25003_003E,B01002_001E,B27001_005E,B16004_052E,B16004_012E,B01001_026E,B16004_017E,B16004_040E,B15003_005E,B23025_005E,B27001_026E,B27001_014E,B27001_048E,B27001_036E,B16004_029E,B16004_001E,B16004_007E,B01001_022E,B16004_045E,C24010_055E,B27001_039E,B01001_046E,B01001_027E,B11005_005E,B11005_003E,C24010_019E,B11001_001E,B23025_003E,B15003_006E,B03002_005E,B01001_024E,B25044_003E,B25003_001E,B03002_001E,C24010_068E,B03002_006E,B01001_049E,B15003_002E,B15003_004E,B25024_001E,B16004_056E,B01001_021E,B03002_004E,B11001_006E,C24010_038E,B15003_014E,B27001_011E,B01001_047E,B01001_023E,B27001_051E,B15003_009E,B15003_011E,B25024_010E,B01001_044E,B16004_030E,B03002_012E,B17021_002E,C24010_032E,B27001_023E,B17021_001E,B15003_012E,B25064_001E,B19055_001E,B19055_002E,B16004_051E,B27001_033E,B16004_061E,B15003_007E,B01001_045E,B25044_001E,B16004_066E,B25077_001E,B27001_020E,B16004_018E,B27001_057E,B01001_048E,B16004_067E,B19301_001E,B01001_025E,B25010_001E,B25044_010E,B27001_008E,B16004_008E,B27001_029E,B15003_013E,bg_fips,tract_fips,country_fips,county_fips,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
484530001011,799.0,48,453,000101,1,0.0,0.0,7.0,11.0,498.0,362.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,332.0,40.0,37.0,0.0,0.0,47.0,3734.0,0.0,0.0,77.0,33.6,11.0,0.0,0.0,497.0,0.0,0.0,0.0,59.0,0.0,36.0,22.0,15.0,0.0,690.0,0.0,9.0,0.0,18.0,47.0,20.0,69.0,16.0,137.0,0.0,332.0,421.0,0.0,0.0,0.0,11.0,332.0,799.0,0.0,0.0,8.0,0.0,0.0,332.0,0.0,0.0,9.0,16.0,191.0,0.0,8.0,15.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,84.0,28.0,0.0,799.0,0.0,1637.0,332.0,52.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,357200.0,18.0,0.0,0.0,0.0,0.0,38607.0,9.0,2.41,0.0,26.0,0.0,0.0,0.0,484530001011,48453000101,48453,48453,48,453,000101,1,1500000US484530001011,484530001011,1,BG,950911,0,"POLYGON ((-97.755501 30.33499, -97.75501299999999 30.336232, -97.75153299999999 30.334563, -97.74974899999999 30.334495, -97.748971 30.332932, -97.746358 30.330421, -97.74688999999999 30.327143, -97.74609699999999 30.326141, -97.745498 30.320406, -97.745909 30.320057, -97.749292 30.320717, -97.749118 30.318876, -97.75247499999999 30.320418, -97.753479 30.320568, -97.749144 30.327637, -97.755685 30.330824, -97.755501 30.33499))"
484530001012,1288.0,48,453,000101,2,0.0,0.0,9.0,11.0,963.0,834.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,594.0,14.0,37.0,0.0,25.0,47.0,3734.0,0.0,0.0,70.0,45.3,11.0,0.0,0.0,614.0,0.0,0.0,0.0,29.0,0.0,36.0,22.0,15.0,0.0,1245.0,0.0,8.0,0.0,48.0,47.0,0.0,29.0,17.0,121.0,19.0,569.0,863.0,0.0,0.0,34.0,0.0,569.0,1288.0,10.0,0.0,0.0,0.0,0.0,594.0,0.0,7.0,0.0,8.0,374.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,152.0,84.0,21.0,0.0,1288.0,0.0,1250.0,569.0,140.0,0.0,0.0,0.0,0.0,34.0,569.0,0.0,355200.0,18.0,0.0,0.0,8.0,0.0,57273.0,13.0,2.26,0.0,26.0,0.0,0.0,0.0,484530001012,48453000101,48453,48453,48,453,000101,2,1500000US484530001012,484530001012,2,BG,1106259,0,"POLYGON ((-97.764011 30.331008, -97.76084899999999 30.332578, -97.75704999999999 30.337419, -97.75501299999999 30.336232, -97.755501 30.33499, -97.755685 30.330824, -97.749144 30.327637, -97.753479 30.320568, -97.754052 30.319625, -97.75590000000001 30.321367, -97.756137 30.321379, -97.75599099999999 30.325013, -97.75849699999999 30.326667, -97.764589 30.32957, -97.764011 30.331008))"
484530001013,1744.0,48,453,000101,3,0.0,4.0,0.0,11.0,1440.0,841.0,0.0,0.0,0.0,927.0,0.0,34.0,0.0,0.0,53.0,0.0,7.0,0.0,1063.0,62.0,37.0,0.0,136.0,47.0,3734.0,0.0,6.0,597.0,40.9,11.0,0.0,0.0,1010.0,0.0,0.0,0.0,58.0,0.0,36.0,22.0,15.0,0.0,1682.0,0.0,7.0,0.0,102.0,47.0,24.0,0.0,36.0,118.0,28.0,927.0,899.0,0.0,0.0,57.0,90.0,927.0,1744.0,9.0,13.0,238.0,0.0,0.0,1063.0,0.0,9.0,18.0,50.0,445.0,4.0,8.0,48.0,45.0,0.0,0.0,0.0,0.0,29.0,0.0,173.0,189.0,33.0,0.0,1664.0,0.0,1385.0,927.0,397.0,0.0,0.0,0.0,0.0,16.0,927.0,0.0,334300.0,18.0,0.0,0.0,30.0,0.0,43455.0,33.0,1.75,111.0,26.0,0.0,0.0,2.0,484530001013,48453000101,48453,48453,48,453,000101,3,1500000US484530001013,484530001013,3,BG,1069512,0,"POLYGON ((-97.757808 30.309068, -97.756137 30.321379, -97.75590000000001 30.321367, -97.754052 30.319625, -97.753479 30.320568, -97.75247499999999 30.320418, -97.749118 30.318876, -97.749246 30.315669, -97.74860699999999 30.312602, -97.748842 30.308964, -97.748003 30.307218, -97.74749399999999 30.305807, -97.748791 30.304761, -97.749259 30.304987, -97.750469 30.307039, -97.75160099999999 30.307801, -97.754623 30.30858, -97.75717899999999 30.308968, -97.757808 30.309068))"
484530001021,1703.0,48,453,000102,1,0.0,0.0,0.0,0.0,1308.0,869.0,0.0,0.0,0.0,717.0,0.0,22.0,0.0,0.0,272.0,0.0,0.0,0.0,786.0,53.0,18.0,0.0,69.0,0.0,2492.0,0.0,20.0,59.0,50.4,0.0,0.0,0.0,905.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,0.0,3.0,1584.0,0.0,43.0,0.0,0.0,1.0,53.0,66.0,34.0,167.0,28.0,717.0,894.0,0.0,0.0,24.0,12.0,717.0,1703.0,0.0,0.0,37.0,0.0,0.0,786.0,0.0,12.0,45.0,38.0,358.0,18.0,0.0,35.0,68.0,0.0,0.0,0.0,0.0,18.0,0.0,102.0,102.0,0.0,13.0,1703.0,15.0,1125.0,717.0,245.0,0.0,0.0,0.0,0.0,56.0,717.0,0.0,580700.0,23.0,0.0,0.0,22.0,0.0,112249.0,6.0,2.35,0.0,0.0,0.0,0.0,3.0,484530001021,48453000102,48453,48453,48,453,000102,1,1500000US484530001021,484530001021,1,BG,2900093,156471,"POLYGON ((-97.78103899999999 30.332416, -97.779428 30.33248, -97.777323 30.337155, -97.77696 30.33705, -97.77666499999999 30.336888, -97.776568 30.336812, -97.77645299999999 30.336667, -97.776388 30.33643, -97.77584399999999 30.335614, -97.775447 30.338164, -97.77214099999999 30.339102, -97.770377 30.340897, -97.76860699999999 30.341006, -97.76712999999999 30.340322, -97.76285999999999 30.34261, -97.761341 30.341782, -97.75704999999999 30.337419, -97.76084899999999 30.332578, -97.764011 30.331008, -97.764589 30.32957, -97.76652999999999 30.328022, -97.76794 30.325038, -97.770236 30.322502, -97.77340699999999 30.323629, -97.772791 30.321219, -97.77455399999999 30.315806, -97.77350199999999 30.315356, -97.77160000000001 30.313164, -97.77383399999999 30.312598, -97.77588399999999 30.313606, -97.775661 30.31803, -97.77612099999999 30.320918, -97.776072 30.322177, -97.77650299999999 30.323838, -97.779747 30.330537, -97.780923 30.332248, -97.78103899999999 30.332416))"
484530001022,815.0,48,453,000102,2,0.0,0.0,0.0,0.0,576.0,313.0,0.0,0.0,0.0,362.0,0.0,17.0,0.0,0.0,155.0,0.0,0.0,0.0,403.0,12.0,18.0,0.0,41.0,0.0,2492.0,0.0,0.0,0.0,51.7,0.0,0.0,0.0,415.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,783.0,0.0,23.0,0.0,7.0,1.0,12.0,20.0,25.0,115.0,0.0,362.0,326.0,0.0,0.0,12.0,12.0,362.0,815.0,0.0,0.0,10.0,0.0,0.0,403.0,0.0,9.0,13.0,35.0,130.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,13.0,789.0,0.0,1125.0,362.0,144.0,0.0,0.0,0.0,0.0,25.0,362.0,0.0,688500.0,23.0,0.0,0.0,34.0,0.0,86919.0,27.0,2.18,0.0,0.0,0.0,0.0,0.0,484530001022,48453000102,48453,48453,48,453,000102,2,1500000US484530001022,484530001022,2,BG,2580973,0,"POLYGON ((-97.77455399999999 30.315806, -97.772791 30.321219, -97.77340699999999 30.323629, -97.770236 30.322502, -97.76794 30.325038, -97.76652999999999 30.328022, -97.764589 30.32957, -97.75849699999999 30.326667, -97.75599099999999 30.325013, -97.756137 30.321379, -97.757808 30.309068, -97.761624 30.30995, -97.76267399999999 30.31048, -97.764173 30.311849, -97.767155 30.313537, -97.76903999999999 30.314529, -97.77160000000001 30.313164, -97.77350199999999 30.315356, -97.77455399999999 30.315806))"
484530002031,1618.0,48,453,000203,1,0.0,0.0,0.0,0.0,842.0,838.0,0.0,0.0,0.0,755.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,815.0,24.0,16.0,0.0,60.0,6.0,1470.0,0.0,8.0,755.0,25.4,0.0,0.0,0.0,975.0,0.0,0.0,0.0,57.0,0.0,12.0,15.0,0.0,15.0,1559.0,0.0,0.0,0.0,59.0,35.0,7.0,35.0,20.0,68.0,0.0,755.0,895.0,0.0,0.0,7.0,0.0,755.0,1618.0,0.0,102.0,0.0,25.0,0.0,815.0,0.0,0.0,55.0,32.0,439.0,0.0,11.0,17.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,230.0,486.0,0.0,0.0,1470.0,11.0,1639.0,755.0,31.0,0.0,0.0,0.0,0.0,11.0,755.0,0.0,219200.0,0.0,0.0,0.0,19.0,0.0,31596.0,0.0,1.9,44.0,6.0,0.0,0.0,10.0,484530002031,48453000203,48453,48453,48,453,000203,1,1500000US484530002031,484530002031,1,BG,1209417,0,"POLYGON ((-97.740039 30.30995, -97.737571 30.313464, -97.74156699999999 30.315401, -97.73956099999999 30.318595, -97.73754699999999 30.317658, -97.73398999999999 30.323309, -97.73187899999999 30.322182, -97.733537 30.319415, -97.731133 30.318265, -97.73222299999999 30.316499, -97.73297599999999 30.310843, -97.73579599999999 30.30639, -97.738147 30.302741, -97.743049 30.305197, -97.740039 30.30995))"
484530002041,1299.0,48,453,000204,1,0.0,0.0,0.0,13.0,608.0,643.0,0.0,0.0,0.0,699.0,0.0,18.0,0.0,14.0,17.0,0.0,0.0,0.0,732.0,18.0,77.0,0.0,33.0,35.0,2927.0,0.0,5.0,474.0,23.7,0.0,0.0,0.0,604.0,0.0,0.0,0.0,69.0,0.0,57.0,11.0,0.0,13.0,1257.0,0.0,0.0,0.0,92.0,0.0,0.0,24.0,20.0,70.0,29.0,699.0,712.0,0.0,0.0,0.0,31.0,699.0,1299.0,0.0,75.0,0.0,0.0,0.0,732.0,0.0,12.0,29.0,46.0,276.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,505.0,8.0,9.0,1299.0,13.0,969.0,699.0,37.0,0.0,0.0,0.0,0.0,0.0,699.0,0.0,323200.0,1.0,0.0,0.0,0.0,0.0,22500.0,0.0,1.85,33.0,0.0,0.0,0.0,0.0,484530002041,48453000204,48453,48453,48,453,000204,1,1500000US484530002041,484530002041,1,BG,514125,0,"POLYGON ((-97.747772 30.297743, -97.743049 30.305197, -97.738147 30.302741, -97.74210000000001 30.296504, -97.742817 30.295429, -97.74391799999999 30.295922, -97.747772 30.297743))"
484530002042,1009.0,48,453,000204,2,0.0,0.0,0.0,13.0,703.0,619.0,0.0,0.0,0.0,470.0,0.0,13.0,0.0,14.0,68.0,0.0,0.0,0.0,522.0,40.0,77.0,0.0,52.0,35.0,2927.0,0.0,0.0,213.0,34.9,0.0,0.0,0.0,463.0,0.0,0.0,0.0,36.0,0.0,57.0,11.0,0.0,0.0,944.0,0.0,2.0,0.0,27.0,0.0,3.0,25.0,8.0,102.0,0.0,470.0,655.0,0.0,0.0,4.0,0.0,470.0,1009.0,0.0,56.0,2.0,0.0,0.0,522.0,0.0,0.0,51.0,38.0,264.0,2.0,41.0,8.0,3.0,0.0,0.0,0.0,0.0,24.0,0.0,34.0,57.0,9.0,9.0,981.0,2.0,960.0,470.0,8.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,464400.0,1.0,0.0,0.0,2.0,0.0,50143.0,0.0,2.09,17.0,0.0,0.0,0.0,0.0,484530002042,48453000204,48453,48453,48,453,000204,2,1500000US484530002042,484530002042,2,BG,551614,0,"POLYGON ((-97.749118 30.318876, -97.748289 30.318568, -97.74156699999999 30.315401, -97.742594 30.311189, -97.742622 30.308431, -97.74841099999999 30.311183, -97.747506 30.307089, -97.748003 30.307218, -97.748842 30.308964, -97.74860699999999 30.312602, -97.749246 30.315669, -97.749118 30.318876))"
484530002043,647.0,48,453,000204,3,0.0,0.0,0.0,13.0,557.0,369.0,0.0,0.0,0.0,408.0,0.0,21.0,0.0,14.0,33.0,0.0,0.0,0.0,434.0,10.0,77.0,0.0,26.0,35.0,2927.0,0.0,0.0,241.0,42.8,0.0,0.0,0.0,328.0,0.0,0.0,0.0,20.0,0.0,57.0,11.0,0.0,1.0,628.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,21.0,49.0,10.0,408.0,389.0,0.0,0.0,0.0,0.0,408.0,647.0,0.0,32.0,0.0,0.0,0.0,434.0,0.0,0.0,0.0,17.0,174.0,0.0,41.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,22.0,0.0,9.0,647.0,0.0,861.0,408.0,92.0,0.0,0.0,14.0,0.0,14.0,408.0,0.0,492100.0,1.0,0.0,0.0,12.0,0.0,55562.0,23.0,1.57,11.0,0.0,0.0,0.0,0.0,484530002043,48453000204,48453,48453,48,453,000204,3,1500000US484530002043,484530002043,3,BG,759174,0,"POLYGON ((-97.748791 30.304761, -97.74749399999999 30.305807, -97.748003 30.307218, -97.747506 30.307089, -97.74841099999999 30.311183, -97.742622 30.308431, -97.742594 30.311189, -97.74156699999999 30.315401, -97.737571 30.313464, -97.740039 30.30995, -97.743049 30.305197, -97.747772 30.297743, -97.74910899999999 30.298862, -97.74710999999999 30.299484, -97.75009 30.302673, -97.748791 30.304761))"
484530002051,1573.0,48,453,000205,1,0.0,0.0,0.0,0.0,1097.0,996.0,0.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,770.0,75.0,146.0,0.0,0.0,65.0,3538.0,0.0,37.0,476.0,31.0,0.0,0.0,0.0,683.0,0.0,0.0,0.0,52.0,0.0,191.0,0.0,0.0,0.0,1498.0,0.0,0.0,0.0,52.0,86.0,0.0,0.0,41.0,94.0,117.0,770.0,1048.0,0.0,0.0,51.0,12.0,770.0,1573.0,0.0,33.0,25.0,0.0,0.0,770.0,0.0,0.0,0.0,41.0,458.0,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,169.0,293.0,18.0,13.0,1573.0,46.0,948.0,770.0,103.0,0.0,0.0,0.0,0.0,0.0,770.0,0.0,329400.0,15.0,0.0,0.0,0.0,0.0,32813.0,0.0,2.04,31.0,0.0,0.0,0.0,51.0,484530002051,48453000205,48453,48453,48,453,000205,1,1500000US484530002051,484530002051,1,BG,573745,0,"POLYGON ((-97.73982199999999 30.334852, -97.73159299999999 30.330871, -97.735856 30.324183, -97.73961299999999 30.325852, -97.740065 30.332473, -97.73982199999999 30.334852))"
