index,B16004_007E,state,county,tract,block group,B15003_007E,C24010_019E,B19301_001E,B27001_005E,B15003_011E,B25003_003E,B03002_005E,B15003_013E,B11001_006E,B19055_002E,B15003_003E,B16004_039E,B27001_048E,B16004_034E,B27001_020E,B27001_017E,B23025_003E,B27001_042E,B15003_001E,C24010_032E,B16004_012E,B27001_054E,B27001_026E,B11005_003E,B01001_024E,B01001_046E,B25003_001E,B16004_067E,B01001_003E,B01001_020E,B03002_004E,B17021_001E,B01001_045E,B16004_013E,B01001_027E,B25064_001E,B01002_001E,B25044_010E,B15003_016E,B16004_056E,B15003_015E,B03002_006E,B01001_044E,B16004_062E,B16004_061E,B27001_029E,B01001_001E,B27001_011E,B25044_003E,B01001_047E,B27001_023E,B01001_021E,B15003_014E,B15003_009E,B25024_010E,B16004_001E,B15003_005E,B25024_001E,B15003_010E,B16004_057E,B27001_036E,B27001_008E,B17021_002E,B03002_001E,B27001_014E,C24010_055E,B25002_003E,B01001_023E,B15003_012E,B15003_008E,B16004_029E,B16004_052E,B16004_035E,C24010_001E,B25044_001E,B16004_044E,B01001_049E,B27001_051E,B19055_001E,B27001_039E,B27001_001E,B16004_040E,B15003_006E,B27001_045E,B25002_001E,B01001_026E,B15003_004E,B19001_001E,B27001_033E,B16004_023E,B11001_001E,B23025_005E,B16004_030E,B16004_045E,B16004_008E,B01001_048E,B16004_018E,B16004_022E,B16004_051E,C24010_038E,B19001_017E,B16004_017E,B27001_057E,B11005_005E,B16004_066E,B03002_012E,C24010_068E,B01001_022E,B25077_001E,B01001_025E,B15003_002E,B25010_001E,bg_fips,tract_fips,country_fips,county_fips,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
484530001011,0.0,48,453,000101,1,0.0,0.0,37323.0,0.0,0.0,102.0,0.0,0.0,30.0,79.0,0.0,0.0,19.0,7.0,16.0,59.0,521.0,29.0,616.0,23.0,0.0,0.0,0.0,163.0,15.0,21.0,399.0,0.0,44.0,0.0,7.0,962.0,0.0,0.0,60.0,1652.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0,9.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,858.0,0.0,399.0,0.0,0.0,14.0,35.0,84.0,962.0,32.0,16.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,457.0,399.0,0.0,13.0,9.0,399.0,40.0,3824.0,0.0,0.0,12.0,399.0,562.0,0.0,399.0,0.0,0.0,399.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,17.0,0.0,0.0,45.0,0.0,114.0,0.0,12.0,357100.0,14.0,0.0,2.41,484530001011,48453000101,48453,48453,48,453,000101,1,1500000US484530001011,484530001011,1,BG,950911,0,"POLYGON Z ((-97.755501 30.33499 0, -97.75501299999999 30.336232 0, -97.75153299999999 30.334563 0, -97.74974899999999 30.334495 0, -97.748971 30.332932 0, -97.746358 30.330421 0, -97.74688999999999 30.327143 0, -97.74609699999999 30.326141 0, -97.745498 30.320406 0, -97.745909 30.320057 0, -97.749292 30.320717 0, -97.749118 30.318876 0, -97.75247499999999 30.320418 0, -97.753479 30.320568 0, -97.749144 30.327637 0, -97.755685 30.330824 0, -97.755501 30.33499 0))"
484530001012,0.0,48,453,000101,2,0.0,25.0,61980.0,0.0,0.0,58.0,0.0,0.0,21.0,171.0,0.0,0.0,19.0,8.0,16.0,59.0,902.0,29.0,1033.0,7.0,0.0,0.0,0.0,136.0,60.0,36.0,587.0,0.0,0.0,0.0,0.0,1341.0,13.0,0.0,0.0,1450.0,47.6,0.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1341.0,9.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,1341.0,0.0,610.0,0.0,0.0,14.0,35.0,50.0,1341.0,32.0,47.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,587.0,0.0,0.0,9.0,587.0,40.0,3824.0,0.0,0.0,12.0,610.0,625.0,0.0,587.0,0.0,0.0,587.0,27.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,385.0,125.0,0.0,0.0,22.0,0.0,168.0,0.0,22.0,365800.0,17.0,0.0,2.28,484530001012,48453000101,48453,48453,48,453,000101,2,1500000US484530001012,484530001012,2,BG,1106259,0,"POLYGON Z ((-97.764011 30.331008 0, -97.76084899999999 30.332578 0, -97.75704999999999 30.337419 0, -97.75501299999999 30.336232 0, -97.755501 30.33499 0, -97.755685 30.330824 0, -97.749144 30.327637 0, -97.753479 30.320568 0, -97.755296 30.321355 0, -97.75590000000001 30.321367 0, -97.756137 30.321379 0, -97.75599099999999 30.325013 0, -97.75849699999999 30.326667 0, -97.764589 30.32957 0, -97.764011 30.331008 0))"
484530001013,0.0,48,453,000101,3,0.0,25.0,47884.0,0.0,5.0,529.0,0.0,15.0,62.0,409.0,0.0,0.0,19.0,0.0,16.0,59.0,808.0,29.0,1348.0,37.0,0.0,0.0,0.0,118.0,43.0,21.0,907.0,0.0,60.0,40.0,46.0,1537.0,18.0,0.0,0.0,1428.0,43.7,83.0,5.0,0.0,5.0,12.0,25.0,0.0,0.0,0.0,1617.0,9.0,102.0,45.0,0.0,17.0,12.0,0.0,7.0,1557.0,0.0,1078.0,20.0,0.0,14.0,35.0,173.0,1617.0,32.0,99.0,171.0,5.0,0.0,0.0,0.0,0.0,0.0,761.0,907.0,0.0,252.0,9.0,907.0,40.0,3824.0,0.0,0.0,12.0,1078.0,993.0,0.0,907.0,0.0,0.0,907.0,47.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,394.0,51.0,0.0,0.0,41.0,0.0,138.0,0.0,24.0,353300.0,8.0,0.0,1.68,484530001013,48453000101,48453,48453,48,453,000101,3,1500000US484530001013,484530001013,3,BG,1069512,0,"POLYGON Z ((-97.757808 30.309068 0, -97.756783 30.314842 0, -97.756137 30.321379 0, -97.75590000000001 30.321367 0, -97.755296 30.321355 0, -97.753479 30.320568 0, -97.75247499999999 30.320418 0, -97.749118 30.318876 0, -97.749246 30.315669 0, -97.74865 30.312972 0, -97.748842 30.308964 0, -97.748003 30.307218 0, -97.74749399999999 30.305807 0, -97.748791 30.304761 0, -97.749259 30.304987 0, -97.750469 30.307039 0, -97.75160099999999 30.307801 0, -97.754623 30.30858 0, -97.75717899999999 30.308968 0, -97.757808 30.309068 0))"
484530001021,0.0,48,453,000102,1,0.0,44.0,107586.0,0.0,0.0,84.0,0.0,5.0,37.0,243.0,0.0,0.0,5.0,0.0,22.0,0.0,907.0,13.0,1310.0,0.0,0.0,0.0,0.0,187.0,52.0,37.0,728.0,0.0,72.0,22.0,63.0,1731.0,41.0,0.0,90.0,1069.0,48.6,0.0,0.0,0.0,17.0,0.0,24.0,0.0,0.0,0.0,1732.0,0.0,11.0,50.0,13.0,8.0,14.0,0.0,0.0,1570.0,0.0,776.0,0.0,0.0,0.0,0.0,63.0,1732.0,0.0,12.0,48.0,38.0,14.0,0.0,3.0,0.0,0.0,893.0,728.0,0.0,33.0,0.0,728.0,1.0,2585.0,0.0,0.0,1.0,776.0,931.0,0.0,728.0,0.0,0.0,728.0,14.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,382.0,259.0,0.0,0.0,44.0,0.0,94.0,0.0,47.0,585200.0,12.0,0.0,2.35,484530001021,48453000102,48453,48453,48,453,000102,1,1500000US484530001021,484530001021,1,BG,2921952,138154,"POLYGON Z ((-97.78103899999999 30.332416 0, -97.779428 30.33248 0, -97.77725099999999 30.335186 0, -97.777323 30.337155 0, -97.77696 30.33705 0, -97.77666499999999 30.336888 0, -97.776568 30.336812 0, -97.77645299999999 30.336667 0, -97.776388 30.33643 0, -97.77584399999999 30.335614 0, -97.775447 30.338164 0, -97.77214099999999 30.339102 0, -97.770377 30.340897 0, -97.76860699999999 30.341006 0, -97.766936 30.340547 0, -97.76285999999999 30.34261 0, -97.761341 30.341782 0, -97.758905 30.338471 0, -97.75704999999999 30.337419 0, -97.76084899999999 30.332578 0, -97.764011 30.331008 0, -97.764589 30.32957 0, -97.76652999999999 30.328022 0, -97.76794 30.325038 0, -97.770236 30.322502 0, -97.77340699999999 30.323629 0, -97.772791 30.321219 0, -97.77455399999999 30.315806 0, -97.77350199999999 30.315356 0, -97.77160000000001 30.313164 0, -97.77383399999999 30.312598 0, -97.77588399999999 30.313606 0, -97.775661 30.31803 0, -97.77612099999999 30.320918 0, -97.776072 30.322177 0, -97.77650299999999 30.323838 0, -97.779747 30.330537 0, -97.780923 30.332248 0, -97.78103899999999 30.332416 0))"
484530001022,0.0,48,453,000102,2,0.0,0.0,92504.0,0.0,0.0,11.0,0.0,0.0,23.0,188.0,0.0,0.0,5.0,0.0,22.0,0.0,334.0,13.0,646.0,0.0,0.0,0.0,0.0,103.0,15.0,28.0,418.0,0.0,0.0,17.0,14.0,853.0,26.0,0.0,41.0,1222.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,0.0,8.0,19.0,13.0,7.0,0.0,0.0,0.0,839.0,0.0,418.0,0.0,0.0,0.0,0.0,30.0,880.0,0.0,10.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,321.0,418.0,0.0,28.0,0.0,418.0,1.0,2585.0,0.0,0.0,1.0,418.0,477.0,0.0,418.0,0.0,0.0,418.0,13.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,135.0,172.0,0.0,0.0,11.0,0.0,27.0,0.0,40.0,692100.0,29.0,0.0,2.04,484530001022,48453000102,48453,48453,48,453,000102,2,1500000US484530001022,484530001022,2,BG,2582084,0,"POLYGON Z ((-97.77455399999999 30.315806 0, -97.772791 30.321219 0, -97.77340699999999 30.323629 0, -97.770236 30.322502 0, -97.76794 30.325038 0, -97.76652999999999 30.328022 0, -97.764589 30.32957 0, -97.75849699999999 30.326667 0, -97.75599099999999 30.325013 0, -97.756137 30.321379 0, -97.756783 30.314842 0, -97.757808 30.309068 0, -97.761624 30.30995 0, -97.76267399999999 30.31048 0, -97.764173 30.311849 0, -97.767155 30.313537 0, -97.76903999999999 30.314529 0, -97.77160000000001 30.313164 0, -97.77350199999999 30.315356 0, -97.77455399999999 30.315806 0))"
484530002031,0.0,48,453,000203,1,0.0,7.0,31300.0,0.0,0.0,735.0,0.0,17.0,57.0,29.0,0.0,0.0,26.0,0.0,0.0,5.0,921.0,27.0,880.0,0.0,0.0,0.0,0.0,82.0,10.0,8.0,735.0,0.0,40.0,0.0,62.0,1481.0,10.0,0.0,32.0,1637.0,25.4,41.0,0.0,0.0,7.0,84.0,0.0,0.0,0.0,0.0,1660.0,8.0,0.0,25.0,0.0,10.0,0.0,14.0,0.0,1588.0,0.0,828.0,0.0,0.0,0.0,6.0,449.0,1660.0,10.0,68.0,93.0,7.0,11.0,0.0,26.0,0.0,0.0,840.0,735.0,0.0,0.0,0.0,735.0,32.0,1481.0,0.0,0.0,0.0,828.0,972.0,0.0,735.0,0.0,0.0,735.0,81.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,434.0,19.0,0.0,0.0,34.0,0.0,281.0,0.0,0.0,224600.0,0.0,35.0,1.97,484530002031,48453000203,48453,48453,48,453,000203,1,1500000US484530002031,484530002031,1,BG,1209417,0,"POLYGON Z ((-97.740039 30.30995 0, -97.737571 30.313464 0, -97.74156699999999 30.315401 0, -97.73956099999999 30.318595 0, -97.73754699999999 30.317658 0, -97.73398999999999 30.323309 0, -97.73187899999999 30.322182 0, -97.733537 30.319415 0, -97.731133 30.318265 0, -97.73222299999999 30.316499 0, -97.73297599999999 30.310843 0, -97.73579599999999 30.30639 0, -97.738147 30.302741 0, -97.743049 30.305197 0, -97.740039 30.30995 0))"
484530002041,0.0,48,453,000204,1,0.0,69.0,35195.0,0.0,0.0,533.0,0.0,0.0,48.0,35.0,0.0,0.0,7.0,0.0,1.0,12.0,792.0,61.0,672.0,9.0,0.0,10.0,0.0,66.0,0.0,0.0,724.0,0.0,22.0,14.0,4.0,1287.0,0.0,0.0,0.0,901.0,25.2,39.0,0.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,1287.0,44.0,26.0,0.0,7.0,13.0,0.0,0.0,0.0,1265.0,0.0,743.0,0.0,0.0,0.0,0.0,506.0,1287.0,73.0,90.0,19.0,0.0,16.0,0.0,16.0,0.0,0.0,720.0,724.0,0.0,0.0,0.0,724.0,0.0,3095.0,0.0,0.0,16.0,743.0,604.0,0.0,724.0,0.0,0.0,724.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,47.0,0.0,0.0,22.0,0.0,131.0,0.0,0.0,331600.0,0.0,0.0,1.77,484530002041,48453000204,48453,48453,48,453,000204,1,1500000US484530002041,484530002041,1,BG,514125,0,"POLYGON Z ((-97.747772 30.297743 0, -97.743049 30.305197 0, -97.738147 30.302741 0, -97.74210000000001 30.296504 0, -97.742817 30.295429 0, -97.74391799999999 30.295922 0, -97.747772 30.297743 0))"
484530002042,0.0,48,453,000204,2,0.0,0.0,53632.0,0.0,0.0,243.0,0.0,0.0,39.0,23.0,0.0,0.0,7.0,0.0,1.0,12.0,652.0,61.0,788.0,7.0,0.0,10.0,0.0,107.0,8.0,8.0,507.0,0.0,34.0,12.0,40.0,1054.0,5.0,0.0,37.0,947.0,35.0,33.0,0.0,0.0,0.0,12.0,21.0,0.0,0.0,0.0,1091.0,44.0,0.0,6.0,7.0,9.0,3.0,0.0,0.0,1020.0,0.0,523.0,3.0,0.0,0.0,0.0,98.0,1091.0,73.0,20.0,16.0,3.0,2.0,0.0,0.0,0.0,0.0,624.0,507.0,0.0,3.0,0.0,507.0,0.0,3095.0,0.0,0.0,16.0,523.0,451.0,0.0,507.0,0.0,0.0,507.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,205.0,77.0,0.0,0.0,10.0,0.0,107.0,0.0,10.0,476300.0,0.0,0.0,2.08,484530002042,48453000204,48453,48453,48,453,000204,2,1500000US484530002042,484530002042,2,BG,551614,0,"POLYGON Z ((-97.749118 30.318876 0, -97.748289 30.318568 0, -97.74156699999999 30.315401 0, -97.742594 30.311189 0, -97.742622 30.308431 0, -97.74841099999999 30.311183 0, -97.747506 30.307089 0, -97.748003 30.307218 0, -97.748842 30.308964 0, -97.74865 30.312972 0, -97.749246 30.315669 0, -97.749118 30.318876 0))"
484530002043,0.0,48,453,000204,3,0.0,47.0,53829.0,0.0,0.0,198.0,0.0,0.0,13.0,101.0,0.0,0.0,7.0,0.0,1.0,12.0,431.0,61.0,595.0,0.0,0.0,10.0,0.0,101.0,0.0,0.0,402.0,0.0,10.0,22.0,13.0,754.0,10.0,0.0,49.0,864.0,37.9,26.0,0.0,0.0,0.0,43.0,0.0,0.0,10.0,0.0,754.0,44.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,695.0,0.0,430.0,0.0,0.0,0.0,0.0,38.0,754.0,73.0,4.0,28.0,10.0,0.0,0.0,1.0,0.0,0.0,420.0,402.0,0.0,0.0,0.0,402.0,0.0,3095.0,0.0,0.0,16.0,430.0,433.0,0.0,402.0,0.0,0.0,402.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,242.0,73.0,0.0,0.0,18.0,0.0,137.0,0.0,0.0,567200.0,17.0,0.0,1.86,484530002043,48453000204,48453,48453,48,453,000204,3,1500000US484530002043,484530002043,3,BG,759174,0,"POLYGON Z ((-97.748791 30.304761 0, -97.74749399999999 30.305807 0, -97.748003 30.307218 0, -97.747506 30.307089 0, -97.74841099999999 30.311183 0, -97.742622 30.308431 0, -97.742594 30.311189 0, -97.74156699999999 30.315401 0, -97.737571 30.313464 0, -97.740039 30.30995 0, -97.743049 30.305197 0, -97.747772 30.297743 0, -97.74910899999999 30.298862 0, -97.74710999999999 30.299484 0, -97.75009 30.302673 0, -97.748791 30.304761 0))"
484530002051,0.0,48,453,000205,1,0.0,167.0,34476.0,19.0,0.0,468.0,0.0,23.0,48.0,83.0,0.0,0.0,0.0,0.0,16.0,21.0,1099.0,56.0,1235.0,0.0,0.0,0.0,0.0,89.0,23.0,16.0,806.0,0.0,50.0,19.0,19.0,1709.0,93.0,0.0,0.0,985.0,36.4,16.0,0.0,0.0,32.0,236.0,0.0,146.0,0.0,0.0,1709.0,0.0,50.0,20.0,16.0,0.0,0.0,0.0,0.0,1659.0,0.0,806.0,0.0,0.0,0.0,0.0,317.0,1709.0,138.0,14.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1035.0,806.0,0.0,19.0,0.0,806.0,93.0,3800.0,0.0,0.0,0.0,806.0,752.0,0.0,806.0,0.0,0.0,806.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,58.0,0.0,0.0,57.0,0.0,259.0,0.0,73.0,279400.0,0.0,0.0,2.12,484530002051,48453000205,48453,48453,48,453,000205,1,1500000US484530002051,484530002051,1,BG,573746,0,"POLYGON Z ((-97.73982199999999 30.334852 0, -97.73159299999999 30.330871 0, -97.735856 30.324183 0, -97.73961299999999 30.325852 0, -97.740065 30.332473 0, -97.73982199999999 30.334852 0))"
