index,B27001_029E,state,county,tract,block group,B25024_010E,B27001_054E,B03002_004E,B15003_009E,B23025_005E,B19001_017E,B01001_027E,B25044_001E,B25064_001E,B15003_011E,B01001_021E,B27001_048E,B27001_014E,B25024_001E,B16004_017E,B19055_002E,B27001_005E,B03002_001E,B01001_024E,B16004_012E,B27001_045E,B19301_001E,B16004_057E,B27001_026E,B01001_045E,B16004_066E,B01001_003E,B27001_020E,B16004_045E,B03002_006E,B15003_015E,B15003_004E,B15003_014E,B15003_006E,B01001_048E,B16004_040E,B25077_001E,B16004_067E,B16004_007E,B11005_005E,B16004_052E,B27001_036E,C24010_068E,C24010_038E,B15003_005E,B16004_030E,B03002_012E,B03002_005E,B27001_001E,B25003_003E,B15003_013E,B17021_002E,B25002_003E,C24010_032E,B01001_023E,B16004_029E,B11001_006E,B25010_001E,B25002_001E,B01001_025E,B27001_011E,B16004_013E,B01002_001E,B19055_001E,B25044_003E,B01001_049E,B15003_002E,B16004_001E,B16004_035E,B16004_022E,B15003_001E,B19001_001E,B01001_001E,B27001_023E,B16004_008E,B01001_020E,B16004_018E,B15003_010E,C24010_055E,B11005_003E,B25044_010E,B27001_039E,B16004_061E,B27001_017E,B16004_023E,B16004_056E,B01001_046E,B16004_044E,B01001_022E,B15003_003E,B27001_033E,B01001_044E,B16004_051E,B15003_008E,B11001_001E,B15003_012E,B01001_026E,B25003_001E,B27001_042E,B27001_051E,B27001_008E,C24010_001E,B27001_057E,B23025_003E,B15003_016E,B15003_007E,B16004_039E,B17021_001E,C24010_019E,B16004_062E,B16004_034E,B01001_047E,bg_fips,tract_fips,country_fips,county_fips,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
484530001011,0.0,48,453,000101,1,0.0,0.0,11.0,0.0,10.0,88.0,7.0,347.0,1491.922480620155,0.0,19.0,0.0,17.0,400.0,0.0,58.0,0.0,812.0,0.0,0.0,0.0,67568.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458900.0,0.0,0.0,9.0,0.0,8.0,0.0,282.0,0.0,0.0,117.0,0.0,4411.0,31.0,0.0,36.0,53.0,7.0,0.0,0.0,12.0,2.34,400.0,19.0,33.0,0.0,44.2,347.0,0.0,32.0,0.0,767.0,0.0,0.0,633.0,347.0,812.0,17.0,0.0,0.0,0.0,0.0,43.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,36.0,0.0,0.0,347.0,0.0,433.0,347.0,0.0,12.0,0.0,497.0,0.0,507.0,0.0,0.0,0.0,812.0,22.0,0.0,0.0,0.0,484530001011,48453000101,48453,48453,48,453,000101,1,1500000US484530001011,484530001011,1,BG,951255,0,"POLYGON ((-97.755501 30.33499, -97.75501299999999 30.336232, -97.75119099999999 30.33451, -97.74974899999999 30.334495, -97.748971 30.332932, -97.746358 30.330421, -97.74688999999999 30.327143, -97.74609699999999 30.326141, -97.745498 30.320406, -97.745909 30.320057, -97.749292 30.320717, -97.749118 30.318876, -97.752393 30.320426, -97.753479 30.320568, -97.749144 30.327637, -97.755685 30.330824, -97.755501 30.33499))"
484530001012,0.0,48,453,000101,2,0.0,0.0,0.0,0.0,0.0,246.0,42.0,541.0,2402.0,0.0,0.0,0.0,17.0,571.0,0.0,94.0,0.0,1466.0,0.0,0.0,0.0,79753.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,625000.0,0.0,0.0,27.0,0.0,8.0,0.0,615.0,0.0,0.0,209.0,17.0,4411.0,103.0,0.0,47.0,30.0,13.0,16.0,0.0,38.0,2.71,571.0,16.0,33.0,0.0,32.9,541.0,16.0,0.0,0.0,1405.0,0.0,0.0,889.0,541.0,1466.0,17.0,0.0,0.0,0.0,0.0,24.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,19.0,0.0,0.0,18.0,0.0,0.0,541.0,0.0,917.0,541.0,0.0,12.0,0.0,934.0,0.0,934.0,0.0,0.0,0.0,1456.0,0.0,0.0,0.0,9.0,484530001012,48453000101,48453,48453,48,453,000101,2,1500000US484530001012,484530001012,2,BG,1105423,0,"POLYGON ((-97.76411499999999 30.330839, -97.76036599999999 30.333044, -97.757077 30.337434, -97.75501299999999 30.336232, -97.755501 30.33499, -97.755685 30.330824, -97.749144 30.327637, -97.753479 30.320568, -97.755296 30.321355, -97.75590000000001 30.321367, -97.756137 30.321379, -97.75599099999999 30.325013, -97.758505 30.326617, -97.764645 30.329568, -97.76411499999999 30.330839))"
484530001013,0.0,48,453,000101,3,0.0,0.0,0.0,0.0,46.0,101.0,65.0,1229.0,1745.0,0.0,0.0,0.0,17.0,1339.0,0.0,445.0,0.0,2133.0,8.0,0.0,0.0,59350.0,0.0,0.0,21.0,0.0,68.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,37.0,0.0,587200.0,0.0,0.0,96.0,0.0,8.0,0.0,528.0,0.0,0.0,168.0,0.0,4411.0,826.0,0.0,210.0,110.0,0.0,0.0,0.0,99.0,1.74,1339.0,110.0,33.0,0.0,34.8,1229.0,28.0,241.0,0.0,2000.0,0.0,0.0,1612.0,1229.0,2133.0,17.0,0.0,0.0,0.0,0.0,85.0,217.0,124.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,1229.0,0.0,1185.0,1229.0,0.0,12.0,0.0,1119.0,0.0,1165.0,0.0,0.0,0.0,2133.0,25.0,0.0,0.0,28.0,484530001013,48453000101,48453,48453,48,453,000101,3,1500000US484530001013,484530001013,3,BG,1068321,0,"POLYGON ((-97.757808 30.309068, -97.756783 30.314842, -97.756137 30.321379, -97.75590000000001 30.321367, -97.755296 30.321355, -97.753479 30.320568, -97.752393 30.320426, -97.749118 30.318876, -97.749246 30.315669, -97.74865 30.312972, -97.748842 30.308964, -97.748003 30.307218, -97.74758899999999 30.305624, -97.74882099999999 30.304717, -97.749259 30.305738, -97.750412 30.307159, -97.75162399999999 30.307765, -97.754639 30.308569, -97.75717899999999 30.308968, -97.757808 30.309068))"
484530001021,0.0,48,453,000102,1,0.0,0.0,15.0,0.0,22.0,305.0,11.0,740.0,1418.5408163265306,0.0,30.0,4.0,0.0,821.0,0.0,330.0,0.0,1544.0,16.0,0.0,7.0,126069.0,0.0,0.0,41.0,0.0,8.0,2.0,0.0,59.0,2.0,0.0,0.0,0.0,41.0,0.0,834000.0,0.0,0.0,10.0,0.0,15.0,0.0,337.0,0.0,2.0,100.0,0.0,2580.0,58.0,0.0,69.0,81.0,0.0,33.0,3.0,35.0,2.06,821.0,36.0,0.0,0.0,54.9,740.0,8.0,39.0,0.0,1525.0,0.0,0.0,1209.0,740.0,1544.0,0.0,0.0,9.0,0.0,2.0,17.0,138.0,10.0,2.0,0.0,0.0,0.0,0.0,101.0,0.0,101.0,0.0,0.0,9.0,0.0,0.0,740.0,0.0,853.0,740.0,17.0,0.0,8.0,723.0,0.0,745.0,16.0,1.0,0.0,1541.0,15.0,0.0,0.0,25.0,484530001021,48453000102,48453,48453,48,453,000102,1,1500000US484530001021,484530001021,1,BG,2921983,138159,"POLYGON ((-97.78103899999999 30.332416, -97.779428 30.33248, -97.77725099999999 30.335186, -97.777323 30.337155, -97.77696 30.33705, -97.77666499999999 30.336888, -97.776568 30.336812, -97.77645299999999 30.336667, -97.776388 30.33643, -97.77584399999999 30.335614, -97.775447 30.338164, -97.77214099999999 30.339102, -97.770377 30.340897, -97.76860699999999 30.341006, -97.76653399999999 30.3406, -97.763049 30.342575, -97.76043399999999 30.341019, -97.75891 30.338441, -97.757077 30.337434, -97.76036599999999 30.333044, -97.76411499999999 30.330839, -97.764645 30.329568, -97.766487 30.328095, -97.76788999999999 30.325064, -97.770236 30.322502, -97.77340699999999 30.323629, -97.772869 30.320544, -97.774525 30.316339, -97.77160000000001 30.313164, -97.77383399999999 30.312598, -97.77588399999999 30.313606, -97.775661 30.31803, -97.77612099999999 30.320918, -97.776072 30.322177, -97.77650299999999 30.323838, -97.779747 30.330537, -97.780923 30.332248, -97.78103899999999 30.332416))"
484530001022,0.0,48,453,000102,2,0.0,0.0,0.0,0.0,0.0,196.0,93.0,392.0,1820.0237529691212,0.0,0.0,4.0,0.0,392.0,0.0,126.0,0.0,1036.0,0.0,0.0,7.0,122706.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1023200.0,0.0,0.0,27.0,0.0,15.0,0.0,256.0,0.0,0.0,0.0,0.0,2580.0,21.0,0.0,13.0,0.0,0.0,17.0,0.0,19.0,2.64,392.0,19.0,0.0,0.0,45.3,392.0,9.0,33.0,0.0,943.0,0.0,0.0,716.0,392.0,1036.0,0.0,0.0,9.0,0.0,0.0,23.0,168.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,21.0,0.0,0.0,392.0,0.0,549.0,392.0,17.0,0.0,8.0,519.0,0.0,519.0,0.0,0.0,0.0,1036.0,8.0,0.0,0.0,7.0,484530001022,48453000102,48453,48453,48,453,000102,2,1500000US484530001022,484530001022,2,BG,2584044,0,"POLYGON ((-97.772869 30.320544, -97.77340699999999 30.323629, -97.770236 30.322502, -97.76788999999999 30.325064, -97.766487 30.328095, -97.764645 30.329568, -97.758505 30.326617, -97.75599099999999 30.325013, -97.756137 30.321379, -97.756783 30.314842, -97.757808 30.309068, -97.761624 30.30995, -97.76267399999999 30.31048, -97.764229 30.311853, -97.767155 30.313537, -97.76903999999999 30.314529, -97.77160000000001 30.313164, -97.774525 30.316339, -97.772869 30.320544))"
484530002031,0.0,48,453,000203,1,0.0,0.0,228.0,0.0,43.0,69.0,21.0,884.0,1801.0,9.0,4.0,0.0,0.0,1008.0,0.0,40.0,0.0,2334.0,10.0,0.0,7.0,41399.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,224.0,5.0,0.0,23.0,0.0,6.0,0.0,579560.2676431425,0.0,0.0,0.0,0.0,11.0,0.0,577.0,0.0,11.0,380.0,0.0,2098.0,884.0,16.0,608.0,124.0,0.0,6.0,0.0,16.0,1.94,1008.0,0.0,35.0,0.0,25.7,884.0,0.0,5.0,17.0,2313.0,0.0,0.0,1275.0,884.0,2334.0,17.0,10.0,0.0,0.0,0.0,40.0,43.0,76.0,44.0,0.0,0.0,0.0,0.0,9.0,0.0,21.0,0.0,0.0,5.0,0.0,0.0,884.0,12.0,1160.0,884.0,24.0,0.0,0.0,1201.0,0.0,1244.0,0.0,0.0,0.0,1805.0,11.0,0.0,0.0,16.0,484530002031,48453000203,48453,48453,48,453,000203,1,1500000US484530002031,484530002031,1,BG,1208518,0,"POLYGON ((-97.740039 30.30995, -97.737571 30.313464, -97.74156699999999 30.315401, -97.73956099999999 30.318595, -97.73754699999999 30.317658, -97.73400799999999 30.32328, -97.73187899999999 30.322182, -97.733537 30.319415, -97.731133 30.318265, -97.73222299999999 30.316499, -97.73297599999999 30.310843, -97.73579599999999 30.30639, -97.738147 30.302741, -97.74311 30.305195, -97.740039 30.30995))"
484530002041,0.0,48,453,000204,1,0.0,0.0,33.0,0.0,105.0,69.0,32.0,643.0,1114.0,0.0,30.0,0.0,17.0,782.0,0.0,27.0,0.0,1237.0,0.0,0.0,0.0,51007.0,0.0,0.0,0.0,0.0,17.0,21.0,0.0,91.0,0.0,0.0,0.0,0.0,9.0,0.0,553300.0,0.0,0.0,37.0,0.0,0.0,0.0,305.0,0.0,0.0,219.0,0.0,3049.0,457.0,0.0,401.0,139.0,0.0,0.0,0.0,8.0,1.92,782.0,0.0,11.0,0.0,26.1,643.0,5.0,0.0,0.0,1188.0,0.0,0.0,719.0,643.0,1237.0,28.0,0.0,0.0,0.0,0.0,31.0,86.0,161.0,25.0,0.0,9.0,0.0,0.0,26.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,643.0,0.0,466.0,643.0,23.0,0.0,0.0,708.0,0.0,813.0,33.0,0.0,0.0,1226.0,45.0,0.0,0.0,0.0,484530002041,48453000204,48453,48453,48,453,000204,1,1500000US484530002041,484530002041,1,BG,513785,0,"POLYGON ((-97.747772 30.297743, -97.74311 30.305195, -97.738147 30.302741, -97.74210000000001 30.296504, -97.742817 30.295429, -97.74391799999999 30.295922, -97.747772 30.297743))"
484530002042,0.0,48,453,000204,2,0.0,0.0,8.0,0.0,8.0,134.0,38.0,587.0,1279.0,0.0,8.0,0.0,17.0,649.0,0.0,129.0,0.0,1281.0,0.0,0.0,0.0,65312.0,0.0,0.0,9.0,0.0,7.0,21.0,0.0,15.0,10.0,0.0,0.0,0.0,8.0,0.0,592000.0,0.0,0.0,41.0,0.0,0.0,0.0,319.0,0.0,0.0,141.0,0.0,3049.0,205.0,0.0,34.0,62.0,0.0,32.0,0.0,53.0,2.1,649.0,19.0,11.0,0.0,36.7,587.0,28.0,50.0,15.0,1236.0,0.0,0.0,922.0,587.0,1281.0,28.0,0.0,22.0,0.0,0.0,6.0,157.0,9.0,25.0,0.0,9.0,0.0,0.0,9.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,587.0,0.0,701.0,587.0,23.0,0.0,0.0,648.0,0.0,656.0,18.0,0.0,0.0,1234.0,42.0,0.0,0.0,8.0,484530002042,48453000204,48453,48453,48,453,000204,2,1500000US484530002042,484530002042,2,BG,549460,0,"POLYGON ((-97.749118 30.318876, -97.74156699999999 30.315401, -97.742594 30.311189, -97.74267499999999 30.308427, -97.748499 30.310792, -97.747506 30.307089, -97.748003 30.307218, -97.748842 30.308964, -97.74865 30.312972, -97.749246 30.315669, -97.749118 30.318876))"
484530002043,0.0,48,453,000204,3,0.0,0.0,0.0,0.0,0.0,126.0,9.0,273.0,1184.0,0.0,0.0,0.0,17.0,282.0,0.0,34.0,0.0,578.0,0.0,0.0,0.0,95613.0,0.0,0.0,10.0,0.0,36.0,21.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,670900.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,56.0,0.0,3049.0,104.0,0.0,62.0,9.0,0.0,0.0,0.0,0.0,2.07,282.0,0.0,11.0,0.0,39.0,273.0,0.0,8.0,0.0,533.0,0.0,0.0,419.0,273.0,578.0,28.0,0.0,0.0,0.0,0.0,3.0,83.0,10.0,25.0,0.0,9.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,2.0,8.0,0.0,273.0,0.0,333.0,273.0,23.0,0.0,0.0,340.0,0.0,340.0,0.0,0.0,0.0,578.0,7.0,0.0,0.0,9.0,484530002043,48453000204,48453,48453,48,453,000204,3,1500000US484530002043,484530002043,3,BG,759687,0,"POLYGON ((-97.74882099999999 30.304717, -97.74758899999999 30.305624, -97.748003 30.307218, -97.747506 30.307089, -97.748499 30.310792, -97.74267499999999 30.308427, -97.742594 30.311189, -97.74156699999999 30.315401, -97.737571 30.313464, -97.740039 30.30995, -97.74311 30.305195, -97.747772 30.297743, -97.74910899999999 30.298862, -97.74710999999999 30.299484, -97.75009 30.302673, -97.74882099999999 30.304717))"
484530002051,0.0,48,453,000205,1,0.0,0.0,0.0,0.0,0.0,129.0,0.0,832.0,1455.0,0.0,0.0,0.0,222.0,914.0,0.0,46.0,0.0,1477.0,0.0,0.0,0.0,61525.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,54.0,0.0,0.0,14.0,0.0,0.0,0.0,469600.0,0.0,0.0,40.0,0.0,0.0,0.0,579.0,0.0,0.0,212.0,0.0,3930.0,553.0,0.0,27.0,82.0,0.0,0.0,0.0,26.0,1.78,914.0,0.0,15.0,0.0,33.8,832.0,0.0,0.0,0.0,1443.0,0.0,0.0,1354.0,832.0,1477.0,0.0,0.0,12.0,0.0,0.0,64.0,70.0,18.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,665.0,832.0,18.0,17.0,0.0,1305.0,0.0,1305.0,0.0,0.0,0.0,1477.0,58.0,0.0,0.0,16.0,484530002051,48453000205,48453,48453,48,453,000205,1,1500000US484530002051,484530002051,1,BG,576345,0,"POLYGON ((-97.73982199999999 30.334852, -97.73159299999999 30.330871, -97.73586899999999 30.324162, -97.73961299999999 30.325852, -97.74009599999999 30.33248, -97.73982199999999 30.334852))"
