index,B19001_017E,state,county,tract,block group,B25064_001E,B23025_005E,B27001_054E,B01001_027E,B15003_011E,B01001_021E,B25044_001E,B25024_001E,B03002_004E,B25024_010E,B27001_048E,B15003_009E,B27001_029E,B27001_014E,B16004_012E,B01001_003E,B03002_001E,B16004_017E,B27001_005E,B19055_002E,B16004_066E,B19301_001E,B16004_057E,B27001_020E,B01001_024E,B01001_048E,B27001_045E,B27001_026E,B01001_045E,B15003_014E,B25077_001E,B16004_067E,B16004_045E,B11005_005E,B16004_052E,B16004_040E,B03002_006E,B15003_015E,C24010_038E,B27001_036E,B16004_007E,B15003_004E,C24010_068E,B15003_006E,B16004_030E,B15003_005E,B01001_023E,B27001_001E,B25003_003E,B16004_029E,B03002_012E,B15003_013E,B17021_002E,B25002_003E,B25002_001E,B11001_006E,B25010_001E,C24010_032E,B03002_005E,B27001_011E,B01002_001E,B25044_003E,B16004_013E,B01001_025E,B19001_001E,B15003_001E,B16004_022E,B01001_020E,B16004_035E,B19055_001E,B25044_010E,B15003_002E,B01001_049E,B16004_001E,B27001_023E,B16004_018E,B15003_010E,B16004_023E,C24010_055E,B16004_061E,B01001_001E,B11005_003E,B27001_039E,B27001_017E,B16004_056E,B01001_046E,B16004_008E,B27001_033E,B15003_003E,B01001_044E,B16004_044E,B01001_026E,B01001_022E,B15003_012E,B11001_001E,B15003_008E,B27001_042E,B16004_051E,B25003_001E,B27001_008E,C24010_001E,B27001_051E,B27001_057E,B16004_039E,B16004_034E,B17021_001E,B15003_016E,B15003_007E,B01001_047E,B16004_062E,C24010_019E,B23025_003E,bg_fips,tract_fips,country_fips,county_fips,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,NAMELSAD,LSAD,ALAND,AWATER,geometry
484530001011,99.0,48,453,000101,1,1774.5820105820105,0.0,0.0,20.0,0.0,40.0,462.0,515.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,983.0,0.0,0.0,170.0,0.0,64660.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,557100.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,172.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4362.0,0.0,0.0,77.0,0.0,24.0,53.0,515.0,0.0,2.13,0.0,0.0,44.0,51.9,0.0,0.0,127.0,462.0,803.0,0.0,0.0,0.0,462.0,0.0,0.0,19.0,937.0,0.0,0.0,0.0,0.0,22.0,0.0,983.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,433.0,0.0,0.0,462.0,0.0,0.0,0.0,462.0,0.0,389.0,0.0,0.0,0.0,0.0,983.0,0.0,0.0,76.0,0.0,15.0,389.0,484530001011,48453000101,48453,48453,48,453,000101,1,1500000US484530001011,484530001011,1,Block Group 1,BG,947233,0,"POLYGON ((-97.75527700000001 30.336413, -97.75501300000001 30.336232, -97.75119100000001 30.33451, -97.74974899999999 30.334495, -97.748971 30.332932, -97.746358 30.330421, -97.74688999999999 30.327143, -97.74609700000001 30.326141, -97.745498 30.320406, -97.745909 30.320057, -97.749292 30.320717, -97.749118 30.318876, -97.752393 30.320426, -97.753479 30.320568, -97.749144 30.327637, -97.755531 30.330749, -97.75527700000001 30.336413))"
484530001012,228.0,48,453,000101,2,2426.0,0.0,0.0,29.0,0.0,0.0,539.0,539.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1397.0,0.0,0.0,78.0,0.0,85918.0,0.0,0.0,0.0,13.0,0.0,0.0,9.0,0.0,635800.0,0.0,0.0,27.0,0.0,0.0,47.0,0.0,555.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4362.0,109.0,0.0,189.0,0.0,10.0,0.0,539.0,12.0,2.59,13.0,0.0,44.0,32.9,15.0,0.0,15.0,539.0,905.0,0.0,0.0,0.0,539.0,0.0,0.0,0.0,1368.0,0.0,0.0,0.0,0.0,11.0,0.0,1397.0,211.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,19.0,0.0,883.0,26.0,0.0,539.0,0.0,0.0,0.0,539.0,0.0,903.0,0.0,0.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0,0.0,903.0,484530001012,48453000101,48453,48453,48,453,000101,2,1500000US484530001012,484530001012,2,Block Group 2,BG,1073247,0,"POLYGON ((-97.764115 30.330839, -97.760366 30.333044, -97.757077 30.337434, -97.75527700000001 30.336413, -97.755531 30.330749, -97.749144 30.327637, -97.753479 30.320568, -97.754823 30.321235, -97.755708 30.321363, -97.755803 30.325007, -97.758505 30.326617, -97.764645 30.329568, -97.764115 30.330839))"
484530001013,26.0,48,453,000101,3,3197.0,0.0,0.0,12.0,0.0,0.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,402.0,0.0,0.0,27.0,0.0,66637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703500.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,88.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4362.0,69.0,0.0,33.0,0.0,111.0,0.0,171.0,11.0,2.35,0.0,0.0,44.0,22.6,0.0,0.0,0.0,171.0,148.0,0.0,0.0,0.0,171.0,0.0,0.0,14.0,390.0,0.0,0.0,0.0,0.0,18.0,0.0,402.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,171.0,0.0,0.0,0.0,171.0,0.0,220.0,0.0,0.0,0.0,0.0,402.0,0.0,0.0,13.0,0.0,36.0,220.0,484530001013,48453000101,48453,48453,48,453,000101,3,1500000US484530001013,484530001013,3,Block Group 3,BG,521349,0,"POLYGON ((-97.753479 30.320568, -97.752393 30.320426, -97.749118 30.318876, -97.749246 30.315669, -97.74865 30.312972, -97.748842 30.308964, -97.748099 30.307312, -97.74869700000001 30.307535, -97.750664 30.309185, -97.752565 30.312081, -97.755155 30.317703, -97.753479 30.320568))"
484530001014,115.0,48,453,000101,4,1739.0,19.0,0.0,0.0,0.0,0.0,1022.0,1103.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,64.0,1580.0,0.0,0.0,538.0,0.0,80974.0,0.0,0.0,11.0,20.0,0.0,0.0,0.0,0.0,659200.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,294.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4362.0,763.0,0.0,42.0,0.0,112.0,81.0,1103.0,0.0,1.55,0.0,0.0,44.0,40.1,68.0,0.0,88.0,1022.0,1207.0,0.0,0.0,0.0,1022.0,112.0,0.0,447.0,1516.0,0.0,0.0,0.0,0.0,13.0,0.0,1580.0,73.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,877.0,9.0,0.0,1022.0,0.0,0.0,0.0,1022.0,0.0,770.0,0.0,0.0,0.0,0.0,1580.0,0.0,0.0,17.0,0.0,0.0,789.0,484530001014,48453000101,48453,48453,48,453,000101,4,1500000US484530001014,484530001014,4,Block Group 4,BG,507990,0,"POLYGON ((-97.755708 30.321363, -97.754823 30.321235, -97.753479 30.320568, -97.755155 30.317703, -97.752565 30.312081, -97.750664 30.309185, -97.74869700000001 30.307535, -97.748099 30.307312, -97.748003 30.307218, -97.747589 30.305624, -97.74882100000001 30.304717, -97.749259 30.305738, -97.750412 30.307159, -97.75162400000001 30.307765, -97.754639 30.308569, -97.75717899999999 30.308968, -97.755708 30.321363))"
484530001021,351.0,48,453,000102,1,1857.8100775193798,10.0,0.0,17.0,0.0,93.0,706.0,781.0,8.0,19.0,4.0,0.0,0.0,0.0,0.0,12.0,1594.0,0.0,0.0,254.0,0.0,118476.0,0.0,1.0,9.0,27.0,0.0,0.0,50.0,0.0,791300.0,0.0,0.0,14.0,0.0,0.0,43.0,3.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2427.0,70.0,2.0,84.0,0.0,59.0,75.0,781.0,30.0,2.23,0.0,0.0,0.0,53.1,4.0,0.0,32.0,706.0,1260.0,0.0,5.0,0.0,706.0,13.0,0.0,10.0,1565.0,1.0,0.0,2.0,0.0,16.0,0.0,1594.0,164.0,2.0,0.0,0.0,66.0,0.0,0.0,0.0,5.0,0.0,790.0,62.0,0.0,706.0,0.0,0.0,0.0,706.0,7.0,846.0,0.0,0.0,0.0,0.0,1590.0,21.0,0.0,12.0,0.0,27.0,856.0,484530001021,48453000102,48453,48453,48,453,000102,1,1500000US484530001021,484530001021,1,Block Group 1,BG,2916298,138159,"POLYGON ((-97.78103900000001 30.332416, -97.779138 30.332619, -97.776932 30.335087, -97.77848899999999 30.337145, -97.77564700000001 30.335648, -97.775447 30.338164, -97.772141 30.339102, -97.770095 30.341032, -97.770079 30.341341, -97.769639 30.341315, -97.768607 30.341006, -97.76653399999999 30.3406, -97.763049 30.342575, -97.760434 30.341019, -97.75891 30.338441, -97.757077 30.337434, -97.760366 30.333044, -97.764115 30.330839, -97.764645 30.329568, -97.766487 30.328095, -97.76788999999999 30.325064, -97.770236 30.322502, -97.77340700000001 30.323629, -97.772869 30.320544, -97.774525 30.316339, -97.77160000000001 30.313164, -97.77383399999999 30.312598, -97.775884 30.313606, -97.775661 30.31803, -97.776121 30.320918, -97.776072 30.322177, -97.77650300000001 30.323838, -97.779747 30.330537, -97.780923 30.332248, -97.78103900000001 30.332416))"
484530001022,169.0,48,453,000102,2,1816.7875894988067,8.0,0.0,0.0,0.0,10.0,317.0,317.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,833.0,0.0,0.0,119.0,0.0,113550.0,0.0,1.0,0.0,2.0,0.0,0.0,15.0,0.0,1145200.0,0.0,0.0,9.0,0.0,0.0,29.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2427.0,24.0,0.0,34.0,0.0,56.0,0.0,317.0,9.0,2.63,0.0,0.0,0.0,49.9,9.0,0.0,9.0,317.0,601.0,0.0,20.0,0.0,317.0,0.0,0.0,15.0,833.0,1.0,0.0,0.0,0.0,26.0,0.0,833.0,106.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,16.0,0.0,429.0,51.0,0.0,317.0,0.0,0.0,0.0,317.0,7.0,338.0,0.0,0.0,0.0,0.0,833.0,0.0,0.0,10.0,0.0,8.0,346.0,484530001022,48453000102,48453,48453,48,453,000102,2,1500000US484530001022,484530001022,2,Block Group 2,BG,2659225,0,"POLYGON ((-97.772869 30.320544, -97.77340700000001 30.323629, -97.770236 30.322502, -97.76788999999999 30.325064, -97.766487 30.328095, -97.764645 30.329568, -97.758505 30.326617, -97.755803 30.325007, -97.755708 30.321363, -97.75717899999999 30.308968, -97.757808 30.309068, -97.761624 30.30995, -97.762674 30.31048, -97.764229 30.311853, -97.767155 30.313537, -97.76904 30.314529, -97.77160000000001 30.313164, -97.774525 30.316339, -97.772869 30.320544))"
484530002031,13.0,48,453,000203,1,1896.0,0.0,0.0,8.0,5.0,17.0,265.0,265.0,58.0,0.0,0.0,3.0,0.0,22.0,0.0,0.0,617.0,9.0,0.0,16.0,0.0,43591.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,13.0,617815.6206896552,0.0,0.0,19.0,0.0,0.0,101.0,27.0,136.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2666.0,265.0,0.0,75.0,11.0,98.0,0.0,265.0,19.0,1.66,0.0,0.0,9.0,32.9,0.0,0.0,0.0,265.0,483.0,0.0,0.0,0.0,265.0,10.0,0.0,18.0,609.0,11.0,0.0,0.0,0.0,0.0,0.0,617.0,28.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,20.0,3.0,265.0,0.0,19.0,3.0,265.0,4.0,352.0,0.0,0.0,6.0,0.0,507.0,2.0,3.0,8.0,0.0,0.0,352.0,484530002031,48453000203,48453,48453,48,453,000203,1,1500000US484530002031,484530002031,1,Block Group 1,BG,566673,0,"POLYGON ((-97.74311 30.305195, -97.737571 30.313464, -97.73297599999999 30.310843, -97.73579599999999 30.30639, -97.738147 30.302741, -97.74311 30.305195))"
484530002032,88.0,48,453,000203,2,1849.0,55.0,0.0,10.0,0.0,0.0,694.0,751.0,251.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,2343.0,0.0,0.0,14.0,0.0,30721.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,614080.8689759036,0.0,0.0,0.0,0.0,0.0,227.0,0.0,707.0,17.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2666.0,684.0,0.0,467.0,4.0,356.0,57.0,751.0,0.0,1.96,16.0,0.0,9.0,22.1,0.0,0.0,5.0,694.0,934.0,0.0,0.0,0.0,694.0,62.0,11.0,8.0,2311.0,11.0,0.0,0.0,0.0,83.0,0.0,2343.0,45.0,47.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,1235.0,9.0,0.0,694.0,0.0,19.0,0.0,694.0,4.0,1279.0,0.0,0.0,10.0,0.0,1360.0,0.0,0.0,5.0,0.0,38.0,1334.0,484530002032,48453000203,48453,48453,48,453,000203,2,1500000US484530002032,484530002032,2,Block Group 2,BG,641845,0,"POLYGON ((-97.73956099999999 30.318595, -97.73754700000001 30.317658, -97.734008 30.32328, -97.731865 30.322262, -97.733255 30.319323, -97.731133 30.318265, -97.732223 30.316499, -97.73297599999999 30.310843, -97.737571 30.313464, -97.741567 30.315401, -97.73956099999999 30.318595))"
484530002041,54.0,48,453,000204,1,1465.0,112.0,0.0,8.0,0.0,32.0,540.0,692.0,33.0,0.0,0.0,0.0,0.0,8.0,0.0,15.0,1084.0,0.0,0.0,39.0,0.0,54485.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,546100.0,0.0,0.0,14.0,0.0,0.0,47.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2588.0,366.0,0.0,233.0,0.0,374.0,152.0,692.0,14.0,2.0,0.0,0.0,20.0,25.2,6.0,0.0,0.0,540.0,546.0,0.0,0.0,0.0,540.0,61.0,0.0,0.0,1061.0,37.0,0.0,0.0,0.0,22.0,0.0,1084.0,49.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,15.0,0.0,350.0,8.0,0.0,540.0,0.0,29.0,0.0,540.0,0.0,526.0,12.0,0.0,0.0,0.0,1070.0,29.0,0.0,0.0,0.0,34.0,638.0,484530002041,48453000204,48453,48453,48,453,000204,1,1500000US484530002041,484530002041,1,Block Group 1,BG,513785,0,"POLYGON ((-97.747772 30.297743, -97.74311 30.305195, -97.738147 30.302741, -97.74209999999999 30.296504, -97.742817 30.295429, -97.74391799999999 30.295922, -97.747772 30.297743))"
484530002042,120.0,48,453,000204,2,1258.0,7.0,0.0,7.0,0.0,21.0,477.0,541.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,15.0,1029.0,0.0,0.0,87.0,0.0,78122.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,720700.0,0.0,0.0,22.0,0.0,0.0,17.0,8.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2588.0,195.0,0.0,157.0,0.0,37.0,64.0,541.0,37.0,2.08,18.0,0.0,20.0,44.3,0.0,0.0,21.0,477.0,790.0,0.0,18.0,0.0,477.0,0.0,0.0,28.0,1007.0,37.0,0.0,0.0,0.0,0.0,0.0,1029.0,120.0,6.0,0.0,0.0,19.0,0.0,0.0,0.0,21.0,0.0,572.0,11.0,0.0,477.0,0.0,29.0,0.0,477.0,0.0,568.0,12.0,0.0,0.0,0.0,990.0,9.0,0.0,13.0,0.0,19.0,575.0,484530002042,48453000204,48453,48453,48,453,000204,2,1500000US484530002042,484530002042,2,Block Group 2,BG,549460,0,"POLYGON ((-97.749118 30.318876, -97.741567 30.315401, -97.742594 30.311189, -97.74267500000001 30.308427, -97.748499 30.310792, -97.747506 30.307089, -97.748003 30.307218, -97.748099 30.307312, -97.748842 30.308964, -97.74865 30.312972, -97.749246 30.315669, -97.749118 30.318876))"
