index,B19301_001E,state,county,tract,block group,B03002_001E,B03002_004E,B19055_001E,B19055_002E,B11001_001E,B11001_006E,B03002_005E,B19001_001E,B19001_017E,B23025_003E,B23025_005E,B01001_001E,B01001_026E,B25010_001E,B03002_006E,B11005_003E,B11005_005E,B01002_001E,B03001_001E,B03001_003E,B25077_001E,B25064_001E,B25024_001E,B25024_010E,B25003_001E,B25003_003E,B25002_001E,B25002_003E,B17021_001E,B17021_002E,C24010_001E,C24010_038E,B25044_001E,B25044_003E,B25044_010E,C24010_032E,C24010_068E,C24010_019E,C24010_055E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B01001_003E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_027E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B27001_001E,B27001_005E,B27001_008E,B27001_011E,B27001_014E,B27001_017E,B27001_020E,B27001_023E,B27001_026E,B27001_029E,B27001_033E,B27001_036E,B27001_039E,B27001_042E,B27001_045E,B27001_048E,B27001_051E,B27001_054E,B27001_057E,B16004_007E,B16004_008E,B16004_012E,B16004_013E,B16004_017E,B16004_018E,B16004_022E,B16004_023E,B16004_029E,B16004_030E,B16004_034E,B16004_035E,B16004_039E,B16004_040E,B16004_044E,B16004_045E,B16004_051E,B16004_052E,B16004_056E,B16004_057E,B16004_061E,B16004_062E,B16004_066E,B16004_067E,B16004_001E,bg_fips,tract_fips,country_fips,county_fips,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
211170603001,32895.0,21,117,060300,1,801.0,62.0,390.0,57.0,390.0,45.0,0.0,390.0,4.0,573.0,15.0,801.0,440.0,1.99,0.0,47.0,24.0,35.2,1660.0,3.0,167000.0,945.0,463.0,0.0,390.0,233.0,463.0,73.0,801.0,160.0,558.0,305.0,390.0,11.0,22.0,0.0,0.0,34.0,50.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,21.0,10.0,0.0,12.0,0.0,0.0,0.0,5.0,13.0,0.0,17.0,9.0,13.0,3.0,5.0,10.0,6.0,1660.0,16.0,11.0,21.0,27.0,2.0,5.0,5.0,0.0,0.0,3.0,0.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,211170603001,21117060300,21117,21117,21,117,060300,1,1500000US211170603001,211170603001,1,BG,206227,0,"POLYGON ((-84.51877399999999 39.086524, -84.517687 39.086524, -84.515778 39.084337, -84.513171 39.082518, -84.513526 39.081731, -84.513493 39.08064299999999, -84.51493099999999 39.080656, -84.517473 39.080182, -84.51750699999999 39.082618, -84.51876999999999 39.082619, -84.52001899999999 39.085359, -84.51877399999999 39.086524))"
211170603002,32305.0,21,117,060300,2,859.0,21.0,397.0,78.0,397.0,34.0,10.0,397.0,45.0,521.0,27.0,859.0,375.0,2.16,3.0,83.0,23.0,35.0,1660.0,3.0,250000.0,752.0,487.0,0.0,397.0,263.0,487.0,90.0,859.0,252.0,494.0,202.0,397.0,4.0,109.0,23.0,0.0,61.0,65.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,75.0,5.0,22.0,52.0,6.0,9.0,0.0,0.0,0.0,9.0,43.0,4.0,11.0,15.0,6.0,0.0,0.0,1660.0,16.0,11.0,21.0,27.0,2.0,5.0,5.0,0.0,0.0,3.0,0.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,211170603002,21117060300,21117,21117,21,117,060300,2,1500000US211170603002,211170603002,2,BG,274930,0,"POLYGON ((-84.522694 39.086368, -84.51877399999999 39.086524, -84.52001899999999 39.085359, -84.51876999999999 39.082619, -84.51750699999999 39.082618, -84.517473 39.080182, -84.519982 39.07968899999999, -84.52160599999999 39.079028, -84.522244 39.080301, -84.522819 39.087382, -84.522694 39.086368))"
211170607001,35636.0,21,117,060700,1,972.0,126.0,544.0,104.0,544.0,31.0,0.0,544.0,0.0,662.0,41.0,972.0,461.0,1.79,23.0,67.0,16.0,40.0,1676.0,60.0,155200.0,794.0,617.0,0.0,544.0,349.0,617.0,73.0,972.0,116.0,621.0,289.0,544.0,0.0,114.0,5.0,0.0,31.0,53.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,27.0,5.0,33.0,0.0,32.0,7.0,11.0,0.0,0.0,8.0,9.0,16.0,11.0,6.0,10.0,13.0,2.0,3.0,1676.0,0.0,0.0,11.0,32.0,23.0,9.0,19.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0,211170607001,21117060700,21117,21117,21,117,060700,1,1500000US211170607001,211170607001,1,BG,302955,0,"POLYGON ((-84.520331 39.077291, -84.515614 39.079037, -84.51529599999999 39.07822, -84.51302199999999 39.078561, -84.513493 39.08064299999999, -84.513526 39.081731, -84.513171 39.082518, -84.512179 39.08186, -84.511212 39.081029, -84.510498 39.078656, -84.51018499999999 39.077448, -84.51066299999999 39.076182, -84.51331399999999 39.075709, -84.51831799999999 39.074782, -84.51964 39.075967, -84.520331 39.077291))"
211170607002,29942.0,21,117,060700,2,704.0,50.0,279.0,79.0,279.0,32.0,0.0,279.0,18.0,395.0,21.0,704.0,283.0,2.52,0.0,52.0,24.0,37.8,1676.0,60.0,76300.0,654.0,364.0,0.0,279.0,150.0,364.0,85.0,704.0,88.0,374.0,143.0,279.0,17.0,64.0,24.0,0.0,61.0,25.0,531.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,14.0,0.0,12.0,19.0,22.0,24.0,11.0,30.0,9.0,5.0,0.0,0.0,21.0,4.0,6.0,4.0,5.0,0.0,0.0,1676.0,0.0,0.0,11.0,32.0,23.0,9.0,19.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,211170607002,21117060700,21117,21117,21,117,060700,2,1500000US211170607002,211170607002,2,BG,176721,0,"POLYGON ((-84.52160599999999 39.079028, -84.519982 39.07968899999999, -84.517473 39.080182, -84.51493099999999 39.080656, -84.513493 39.08064299999999, -84.51302199999999 39.078561, -84.51529599999999 39.07822, -84.515614 39.079037, -84.520331 39.077291, -84.52160599999999 39.079028))"
211170609001,16628.0,21,117,060900,1,1014.0,139.0,388.0,66.0,388.0,99.0,0.0,388.0,0.0,536.0,25.0,1014.0,536.0,2.43,5.0,111.0,94.0,31.9,2553.0,353.0,105400.0,722.0,471.0,0.0,388.0,287.0,471.0,83.0,1007.0,515.0,511.0,239.0,388.0,4.0,100.0,17.0,0.0,110.0,72.0,671.0,88.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,5.0,8.0,11.0,0.0,19.0,36.0,17.0,48.0,8.0,0.0,7.0,0.0,0.0,0.0,55.0,0.0,0.0,5.0,0.0,0.0,0.0,2553.0,4.0,72.0,29.0,114.0,49.0,22.0,7.0,0.0,0.0,0.0,0.0,31.0,21.0,40.0,12.0,24.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,13.0,0.0,0.0,0.0,0.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,211170609001,21117060900,21117,21117,21,117,060900,1,1500000US211170609001,211170609001,1,BG,276643,0,"POLYGON ((-84.50927799999999 39.073837, -84.502788 39.074438, -84.502656 39.072798, -84.501943 39.070024, -84.508026 39.069069, -84.50921699999999 39.073396, -84.50927799999999 39.073837))"
211170609002,16715.0,21,117,060900,2,1539.0,364.0,541.0,124.0,541.0,111.0,23.0,541.0,0.0,772.0,109.0,1539.0,816.0,2.84,0.0,187.0,156.0,26.9,2553.0,353.0,102800.0,888.0,619.0,16.0,541.0,347.0,619.0,78.0,1493.0,767.0,663.0,334.0,541.0,21.0,78.0,15.0,0.0,105.0,69.0,892.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,13.0,41.0,34.0,55.0,0.0,51.0,17.0,14.0,23.0,0.0,0.0,3.0,88.0,5.0,34.0,13.0,13.0,6.0,11.0,2553.0,4.0,72.0,29.0,114.0,49.0,22.0,7.0,0.0,0.0,0.0,0.0,31.0,21.0,40.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,211170609002,21117060900,21117,21117,21,117,060900,2,1500000US211170609002,211170609002,2,BG,227590,0,"POLYGON ((-84.508026 39.069069, -84.501943 39.070024, -84.501645 39.068828, -84.500956 39.066069, -84.498548 39.065335, -84.50036799999999 39.065391, -84.50550799999999 39.065546, -84.50611099999999 39.067923, -84.50762999999999 39.067588, -84.508026 39.069069))"
211170610001,21198.0,21,117,061000,1,1423.0,172.0,479.0,105.0,479.0,120.0,15.0,479.0,8.0,728.0,68.0,1423.0,800.0,2.79,0.0,154.0,77.0,30.9,2280.0,139.0,85400.0,788.0,617.0,25.0,479.0,216.0,617.0,138.0,1329.0,323.0,660.0,331.0,479.0,10.0,62.0,32.0,0.0,53.0,36.0,933.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,42.0,34.0,6.0,80.0,11.0,12.0,7.0,3.0,8.0,0.0,115.0,8.0,4.0,17.0,11.0,11.0,46.0,2203.0,0.0,20.0,24.0,38.0,6.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,211170610001,21117061000,21117,21117,21,117,061000,1,1500000US211170610001,211170610001,1,BG,484313,24164,"POLYGON ((-84.501645 39.068828, -84.49862 39.06935199999999, -84.49979399999999 39.075174, -84.497665 39.076785, -84.49381699999999 39.072631, -84.49321999999999 39.070628, -84.49435 39.066862, -84.496287 39.066875, -84.496422 39.065283, -84.498548 39.065335, -84.500956 39.066069, -84.501645 39.068828))"
211170610002,29770.0,21,117,061000,2,857.0,222.0,349.0,89.0,349.0,94.0,0.0,349.0,18.0,435.0,52.0,857.0,409.0,2.44,0.0,93.0,76.0,32.7,2280.0,139.0,79600.0,658.0,407.0,0.0,349.0,238.0,407.0,58.0,857.0,342.0,383.0,189.0,349.0,0.0,55.0,9.0,9.0,66.0,12.0,561.0,49.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,12.0,5.0,15.0,21.0,5.0,38.0,0.0,5.0,22.0,15.0,0.0,0.0,46.0,31.0,27.0,0.0,0.0,4.0,7.0,2203.0,0.0,20.0,24.0,38.0,6.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0,211170610002,21117061000,21117,21117,21,117,061000,2,1500000US211170610002,211170610002,2,BG,203743,0,"POLYGON ((-84.502788 39.074438, -84.501706 39.07461, -84.49979399999999 39.075174, -84.49862 39.06935199999999, -84.501645 39.068828, -84.501943 39.070024, -84.502656 39.072798, -84.502788 39.074438))"
211170611001,28362.0,21,117,061100,1,711.0,8.0,293.0,89.0,293.0,29.0,0.0,293.0,10.0,356.0,8.0,711.0,319.0,2.43,0.0,86.0,32.0,40.4,1430.0,35.0,146400.0,732.0,313.0,0.0,293.0,82.0,313.0,20.0,711.0,77.0,348.0,162.0,293.0,16.0,0.0,19.0,0.0,9.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,9.0,8.0,18.0,15.0,33.0,0.0,0.0,0.0,59.0,12.0,10.0,7.0,0.0,0.0,0.0,1430.0,0.0,0.0,7.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,211170611001,21117061100,21117,21117,21,117,061100,1,1500000US211170611001,211170611001,1,BG,674348,42546,"POLYGON ((-84.504008 39.060866, -84.50150000000001 39.062526, -84.50202299999999 39.064184, -84.50036799999999 39.065391, -84.498548 39.065335, -84.496422 39.065283, -84.496287 39.066875, -84.49435 39.066862, -84.49555599999999 39.062979, -84.497739 39.058525, -84.49761199999999 39.056311, -84.497213 39.055154, -84.49481399999999 39.05158, -84.496898 39.050565, -84.498846 39.04984, -84.500727 39.054945, -84.501983 39.057119, -84.50083699999999 39.058186, -84.502523 39.05939499999999, -84.504008 39.060866))"
211170611002,33934.0,21,117,061100,2,719.0,125.0,352.0,107.0,352.0,53.0,0.0,352.0,16.0,374.0,34.0,719.0,391.0,2.04,0.0,41.0,15.0,43.9,1430.0,35.0,116700.0,758.0,426.0,0.0,352.0,186.0,426.0,74.0,719.0,138.0,340.0,195.0,352.0,29.0,52.0,4.0,5.0,58.0,5.0,577.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,14.0,5.0,0.0,4.0,0.0,33.0,0.0,0.0,9.0,0.0,4.0,3.0,5.0,5.0,0.0,5.0,1430.0,0.0,0.0,7.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,211170611002,21117061100,21117,21117,21,117,061100,2,1500000US211170611002,211170611002,2,BG,229376,0,"POLYGON ((-84.50762999999999 39.067588, -84.50611099999999 39.067923, -84.50550799999999 39.065546, -84.50036799999999 39.065391, -84.50202299999999 39.064184, -84.50150000000001 39.062526, -84.504008 39.060866, -84.502523 39.05939499999999, -84.503281 39.05906, -84.50629699999999 39.063709, -84.50762999999999 39.067588))"
