index,B03002_021E,state,county,tract,block group,bg_fips,tract_fips,country_fips,B16004_040E,B23025_003E,B27001_017E,B27001_057E,B16004_045E,B03002_005E,B11001_001E,B16004_001E,B27001_045E,B01002_001E,B16004_012E,B16004_061E,B25003_001E,B01001_001E,B01001_048E,B01001_023E,B23025_005E,B01001_047E,B01001_045E,B16004_039E,B15003_011E,B15003_001E,B25024_001E,B16004_030E,B16004_035E,B03002_012E,B15003_012E,B15003_004E,B25010_001E,B25044_001E,B27001_005E,B16004_034E,B25002_001E,B16004_007E,B15003_014E,B27001_011E,B15003_008E,B16004_008E,B15003_003E,B16004_022E,B16004_018E,B03002_001E,C24010_032E,B19301_001E,B01001_024E,B27001_054E,B17021_002E,C24010_055E,B27001_042E,B17021_001E,B15003_010E,B19001_001E,B27001_036E,B15003_016E,C24010_019E,B25044_003E,B01001_022E,B27001_033E,B11001_006E,B25024_010E,B27001_023E,B16004_051E,B15003_006E,B15003_013E,B01001_049E,B01001_027E,B19001_017E,B01001_021E,B25077_001E,B27001_039E,B01001_046E,B01001_003E,B16004_052E,B15003_007E,B01001_044E,B15003_015E,C24010_068E,B19055_001E,B27001_051E,B27001_029E,B27001_008E,B15003_009E,C24010_001E,B25044_010E,B16004_029E,B16004_066E,B15003_005E,B01001_026E,B19055_002E,B25064_001E,B01001_025E,B15003_002E,B03002_004E,B27001_020E,B11005_005E,B25002_003E,B11005_003E,B16004_056E,B16004_044E,B27001_001E,B16004_057E,B25003_003E,B16004_017E,B16004_023E,B01001_020E,B16004_013E,B16004_062E,B27001_014E,B16004_067E,B03002_006E,B27001_026E,B27001_048E,C24010_038E,county_fips,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
211170603001,0.0,21,117,060300,1,211170603001,21117060300,21117,0.0,573.0,2.0,0.0,0.0,0.0,390.0,772.0,0.0,35.2,0.0,0.0,390.0,801.0,10.0,5.0,15.0,5.0,13.0,0.0,4.0,618.0,463.0,0.0,0.0,3.0,0.0,0.0,1.99,390.0,16.0,0.0,463.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,801.0,0.0,32895.0,13.0,0.0,160.0,50.0,35.0,801.0,2.0,390.0,0.0,0.0,34.0,11.0,0.0,3.0,45.0,0.0,5.0,0.0,0.0,6.0,6.0,17.0,4.0,0.0,167000.0,11.0,3.0,12.0,0.0,0.0,9.0,10.0,0.0,390.0,0.0,0.0,11.0,0.0,558.0,22.0,0.0,0.0,0.0,440.0,57.0,945.0,0.0,0.0,62.0,5.0,24.0,73.0,47.0,0.0,0.0,1660.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,305.0,21117,21,117,060300,1,1500000US211170603001,211170603001,1,BG,206227,0,"POLYGON ((-84.51877399999999 39.086524, -84.517687 39.086524, -84.515778 39.084337, -84.513171 39.082518, -84.513526 39.081731, -84.513493 39.08064299999999, -84.51493099999999 39.080656, -84.517473 39.080182, -84.51750699999999 39.082618, -84.51876999999999 39.082619, -84.52001899999999 39.085359, -84.51877399999999 39.086524))"
211170603002,0.0,21,117,060300,2,211170603002,21117060300,21117,0.0,521.0,2.0,0.0,0.0,10.0,397.0,764.0,0.0,35.0,0.0,0.0,397.0,859.0,0.0,0.0,27.0,6.0,11.0,8.0,12.0,625.0,487.0,0.0,0.0,0.0,0.0,0.0,2.16,397.0,16.0,0.0,487.0,0.0,75.0,21.0,0.0,0.0,0.0,0.0,0.0,859.0,23.0,32305.0,0.0,0.0,252.0,65.0,35.0,859.0,0.0,397.0,0.0,22.0,61.0,4.0,0.0,3.0,34.0,0.0,5.0,0.0,0.0,6.0,0.0,43.0,45.0,9.0,250000.0,11.0,15.0,52.0,0.0,0.0,4.0,5.0,0.0,397.0,0.0,0.0,11.0,0.0,494.0,109.0,0.0,0.0,0.0,375.0,78.0,752.0,9.0,0.0,21.0,5.0,23.0,90.0,83.0,0.0,0.0,1660.0,0.0,263.0,0.0,0.0,6.0,0.0,0.0,27.0,0.0,3.0,0.0,0.0,202.0,21117,21,117,060300,2,1500000US211170603002,211170603002,2,BG,274930,0,"POLYGON ((-84.522694 39.086368, -84.51877399999999 39.086524, -84.52001899999999 39.085359, -84.51876999999999 39.082619, -84.51750699999999 39.082618, -84.517473 39.080182, -84.519982 39.07968899999999, -84.52160599999999 39.079028, -84.522244 39.080301, -84.522819 39.087382, -84.522694 39.086368))"
211170607001,0.0,21,117,060700,1,211170607001,21117060700,21117,0.0,662.0,23.0,0.0,0.0,0.0,544.0,924.0,0.0,40.0,0.0,0.0,544.0,972.0,2.0,0.0,41.0,13.0,6.0,0.0,0.0,813.0,617.0,3.0,0.0,32.0,14.0,0.0,1.79,544.0,0.0,0.0,617.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,972.0,5.0,35636.0,8.0,0.0,116.0,53.0,3.0,972.0,8.0,544.0,0.0,0.0,31.0,0.0,0.0,0.0,31.0,0.0,19.0,0.0,0.0,27.0,3.0,16.0,0.0,11.0,155200.0,0.0,10.0,32.0,0.0,0.0,11.0,33.0,0.0,544.0,8.0,0.0,0.0,0.0,621.0,114.0,0.0,0.0,0.0,461.0,104.0,794.0,9.0,0.0,126.0,9.0,16.0,73.0,67.0,0.0,0.0,1676.0,0.0,349.0,0.0,0.0,7.0,0.0,0.0,32.0,0.0,23.0,6.0,7.0,289.0,21117,21,117,060700,1,1500000US211170607001,211170607001,1,BG,302955,0,"POLYGON ((-84.520331 39.077291, -84.515614 39.079037, -84.51529599999999 39.07822, -84.51302199999999 39.078561, -84.513493 39.08064299999999, -84.513526 39.081731, -84.513171 39.082518, -84.512179 39.08186, -84.511212 39.081029, -84.510498 39.078656, -84.51018499999999 39.077448, -84.51066299999999 39.076182, -84.51331399999999 39.075709, -84.51831799999999 39.074782, -84.51964 39.075967, -84.520331 39.077291))"
211170607002,4.0,21,117,060700,2,211170607002,21117060700,21117,0.0,395.0,23.0,0.0,0.0,0.0,279.0,659.0,0.0,37.8,0.0,0.0,279.0,704.0,0.0,5.0,21.0,5.0,6.0,0.0,0.0,531.0,364.0,0.0,0.0,28.0,14.0,0.0,2.52,279.0,0.0,0.0,364.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,704.0,24.0,29942.0,0.0,0.0,88.0,25.0,3.0,704.0,0.0,279.0,0.0,22.0,61.0,17.0,9.0,0.0,32.0,0.0,19.0,0.0,0.0,0.0,0.0,21.0,18.0,30.0,76300.0,0.0,4.0,24.0,0.0,0.0,4.0,19.0,0.0,279.0,8.0,0.0,0.0,17.0,374.0,64.0,0.0,0.0,0.0,283.0,79.0,654.0,0.0,6.0,50.0,9.0,24.0,85.0,52.0,0.0,0.0,1676.0,0.0,150.0,0.0,0.0,11.0,0.0,0.0,32.0,0.0,0.0,6.0,7.0,143.0,21117,21,117,060700,2,1500000US211170607002,211170607002,2,BG,176721,0,"POLYGON ((-84.52160599999999 39.079028, -84.519982 39.07968899999999, -84.517473 39.080182, -84.51493099999999 39.080656, -84.513493 39.08064299999999, -84.51302199999999 39.078561, -84.51529599999999 39.07822, -84.515614 39.079037, -84.520331 39.077291, -84.52160599999999 39.079028))"
211170609001,14.0,21,117,060900,1,211170609001,21117060900,21117,0.0,536.0,49.0,0.0,17.0,0.0,388.0,911.0,40.0,31.9,0.0,0.0,388.0,1014.0,0.0,0.0,25.0,0.0,0.0,0.0,8.0,671.0,471.0,13.0,0.0,237.0,11.0,0.0,2.43,388.0,4.0,0.0,471.0,17.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,1014.0,17.0,16628.0,0.0,0.0,515.0,72.0,21.0,1007.0,5.0,388.0,0.0,17.0,110.0,4.0,7.0,0.0,99.0,0.0,7.0,0.0,10.0,0.0,0.0,55.0,0.0,0.0,105400.0,31.0,5.0,48.0,0.0,16.0,0.0,36.0,0.0,388.0,24.0,0.0,72.0,0.0,511.0,100.0,40.0,0.0,0.0,536.0,66.0,722.0,0.0,88.0,139.0,22.0,94.0,83.0,111.0,0.0,12.0,2553.0,0.0,287.0,0.0,0.0,8.0,0.0,0.0,114.0,0.0,5.0,0.0,12.0,239.0,21117,21,117,060900,1,1500000US211170609001,211170609001,1,BG,276643,0,"POLYGON ((-84.50927799999999 39.073837, -84.502788 39.074438, -84.502656 39.072798, -84.501943 39.070024, -84.508026 39.069069, -84.50921699999999 39.073396, -84.50927799999999 39.073837))"
211170609002,23.0,21,117,060900,2,211170609002,21117060900,21117,0.0,772.0,49.0,0.0,0.0,23.0,541.0,1400.0,40.0,26.9,0.0,0.0,541.0,1539.0,6.0,0.0,109.0,13.0,34.0,0.0,0.0,892.0,619.0,0.0,0.0,116.0,13.0,0.0,2.84,541.0,4.0,0.0,619.0,0.0,34.0,29.0,0.0,0.0,0.0,0.0,0.0,1539.0,15.0,16715.0,0.0,0.0,767.0,69.0,21.0,1493.0,0.0,541.0,0.0,0.0,105.0,21.0,23.0,0.0,111.0,16.0,7.0,0.0,0.0,41.0,11.0,88.0,0.0,14.0,102800.0,31.0,13.0,51.0,0.0,7.0,5.0,55.0,0.0,541.0,24.0,0.0,72.0,0.0,663.0,78.0,26.0,0.0,0.0,816.0,124.0,888.0,3.0,9.0,364.0,22.0,156.0,78.0,187.0,0.0,0.0,2553.0,0.0,347.0,0.0,0.0,17.0,0.0,0.0,114.0,0.0,0.0,0.0,12.0,334.0,21117,21,117,060900,2,1500000US211170609002,211170609002,2,BG,227590,0,"POLYGON ((-84.508026 39.069069, -84.501943 39.070024, -84.501645 39.068828, -84.500956 39.066069, -84.498548 39.065335, -84.50036799999999 39.065391, -84.50550799999999 39.065546, -84.50611099999999 39.067923, -84.50762999999999 39.067588, -84.508026 39.069069))"
211170610001,0.0,21,117,061000,1,211170610001,21117061000,21117,0.0,728.0,6.0,0.0,0.0,15.0,479.0,1228.0,22.0,30.9,0.0,0.0,479.0,1423.0,11.0,3.0,68.0,11.0,4.0,0.0,3.0,933.0,617.0,0.0,0.0,20.0,22.0,0.0,2.79,479.0,0.0,0.0,617.0,0.0,42.0,24.0,0.0,0.0,0.0,0.0,0.0,1423.0,32.0,21198.0,8.0,0.0,323.0,36.0,20.0,1329.0,0.0,479.0,0.0,6.0,53.0,10.0,7.0,0.0,120.0,25.0,5.0,0.0,0.0,0.0,46.0,115.0,8.0,12.0,85400.0,0.0,17.0,80.0,0.0,0.0,8.0,34.0,0.0,479.0,0.0,0.0,20.0,0.0,660.0,62.0,0.0,0.0,0.0,800.0,105.0,788.0,0.0,14.0,172.0,25.0,77.0,138.0,154.0,0.0,0.0,2203.0,0.0,216.0,0.0,0.0,11.0,0.0,0.0,38.0,0.0,0.0,0.0,6.0,331.0,21117,21,117,061000,1,1500000US211170610001,211170610001,1,BG,484313,24164,"POLYGON ((-84.501645 39.068828, -84.49862 39.06935199999999, -84.49979399999999 39.075174, -84.497665 39.076785, -84.49381699999999 39.072631, -84.49321999999999 39.070628, -84.49435 39.066862, -84.496287 39.066875, -84.496422 39.065283, -84.498548 39.065335, -84.500956 39.066069, -84.501645 39.068828))"
211170610002,0.0,21,117,061000,2,211170610002,21117061000,21117,0.0,435.0,6.0,0.0,0.0,0.0,349.0,773.0,22.0,32.7,0.0,0.0,349.0,857.0,4.0,15.0,52.0,0.0,27.0,0.0,0.0,561.0,407.0,0.0,0.0,119.0,12.0,0.0,2.44,349.0,0.0,0.0,407.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0,0.0,857.0,9.0,29770.0,0.0,0.0,342.0,12.0,20.0,857.0,7.0,349.0,0.0,5.0,66.0,0.0,22.0,0.0,94.0,0.0,5.0,0.0,0.0,5.0,7.0,46.0,18.0,5.0,79600.0,0.0,0.0,38.0,0.0,0.0,31.0,21.0,9.0,349.0,0.0,0.0,20.0,0.0,383.0,55.0,33.0,0.0,11.0,409.0,89.0,658.0,0.0,49.0,222.0,25.0,76.0,58.0,93.0,0.0,0.0,2203.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,6.0,189.0,21117,21,117,061000,2,1500000US211170610002,211170610002,2,BG,203743,0,"POLYGON ((-84.502788 39.074438, -84.501706 39.07461, -84.49979399999999 39.075174, -84.49862 39.06935199999999, -84.501645 39.068828, -84.501943 39.070024, -84.502656 39.072798, -84.502788 39.074438))"
211170611001,7.0,21,117,061100,1,211170611001,21117061100,21117,0.0,356.0,5.0,0.0,0.0,0.0,293.0,644.0,0.0,40.4,0.0,0.0,293.0,711.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,530.0,313.0,0.0,0.0,35.0,0.0,0.0,2.43,293.0,0.0,0.0,313.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,711.0,19.0,28362.0,0.0,0.0,77.0,0.0,0.0,711.0,0.0,293.0,0.0,9.0,9.0,16.0,33.0,0.0,29.0,0.0,0.0,0.0,0.0,6.0,0.0,59.0,10.0,15.0,146400.0,0.0,7.0,8.0,0.0,0.0,12.0,5.0,0.0,293.0,7.0,0.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,319.0,89.0,732.0,0.0,0.0,8.0,12.0,32.0,20.0,86.0,0.0,0.0,1430.0,0.0,82.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,21117,21,117,061100,1,1500000US211170611001,211170611001,1,BG,674348,42546,"POLYGON ((-84.504008 39.060866, -84.50150000000001 39.062526, -84.50202299999999 39.064184, -84.50036799999999 39.065391, -84.498548 39.065335, -84.496422 39.065283, -84.496287 39.066875, -84.49435 39.066862, -84.49555599999999 39.062979, -84.497739 39.058525, -84.49761199999999 39.056311, -84.497213 39.055154, -84.49481399999999 39.05158, -84.496898 39.050565, -84.498846 39.04984, -84.500727 39.054945, -84.501983 39.057119, -84.50083699999999 39.058186, -84.502523 39.05939499999999, -84.504008 39.060866))"
211170611002,0.0,21,117,061100,2,211170611002,21117061100,21117,0.0,374.0,5.0,0.0,0.0,0.0,352.0,719.0,0.0,43.9,0.0,0.0,352.0,719.0,0.0,0.0,34.0,5.0,3.0,0.0,0.0,577.0,426.0,0.0,0.0,0.0,0.0,0.0,2.04,352.0,0.0,0.0,426.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,719.0,4.0,33934.0,0.0,0.0,138.0,5.0,0.0,719.0,0.0,352.0,0.0,5.0,58.0,29.0,33.0,0.0,53.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,16.0,0.0,116700.0,0.0,5.0,0.0,0.0,0.0,4.0,14.0,5.0,352.0,7.0,0.0,0.0,0.0,340.0,52.0,0.0,0.0,0.0,391.0,107.0,758.0,9.0,4.0,125.0,12.0,15.0,74.0,41.0,0.0,0.0,1430.0,0.0,186.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,21117,21,117,061100,2,1500000US211170611002,211170611002,2,BG,229376,0,"POLYGON ((-84.50762999999999 39.067588, -84.50611099999999 39.067923, -84.50550799999999 39.065546, -84.50036799999999 39.065391, -84.50202299999999 39.064184, -84.50150000000001 39.062526, -84.504008 39.060866, -84.502523 39.05939499999999, -84.503281 39.05906, -84.50629699999999 39.063709, -84.50762999999999 39.067588))"
